"Status","Year","Sexual_orientation","Region_ITL2","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Attorney General's Departments","130","120","41700","40000"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department for Transport","80","70","30080","29460"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department for Work and Pensions","790","730","29500","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Department of Health and Social Care","200","190","44480","40450"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Home Office","230","200","28770","26410"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Ministry of Defence","630","620","36060","33370"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Ministry of Justice","960","900","28730","27850"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","National Crime Agency","80","80","39140","39700"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Attorney General's Departments","90","90","42390","38120"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Cabinet Office","60","60","33370","33300"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department for Environment, Food and Rural Affairs","240","240","37830","35900"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department for International Trade","90","90","46080","51970"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department for Transport","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department for Work and Pensions","790","730","28230","27570"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Department of Health and Social Care","230","200","42240","38200"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Foreign, Commonwealth and Development Office","840","810","36750","31390"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","HM Revenue and Customs","270","250","32690","31810"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Home Office","70","70","28610","25630"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Defence","2080","2030","32630","28750"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Ministry of Justice","1730","1640","30240","30400"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","National Crime Agency","70","70","39380","37960"
"In post","2021","Heterosexual / straight","Cheshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Department for Environment, Food and Rural Affairs","190","190","38530","36520"
"In post","2021","Heterosexual / straight","Cheshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Department for Work and Pensions","670","610","25970","27570"
"In post","2021","Heterosexual / straight","Cheshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Ministry of Defence","50","50","28910","27720"
"In post","2021","Heterosexual / straight","Cheshire","Ministry of Housing, Communities and Local Government","50","50","38190","34690"
"In post","2021","Heterosexual / straight","Cheshire","Ministry of Justice","770","720","29280","26320"
"In post","2021","Heterosexual / straight","Cheshire","National Crime Agency","930","910","36210","36050"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Department for Environment, Food and Rural Affairs","60","60","33690","29180"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Department for Transport","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Department for Work and Pensions","500","450","26030","27570"
