"Status","Year","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","West Wales and The Valleys","Gwynedd","780","720","26200","23170"
"In post","2022","West Wales and The Valleys","Isle of Anglesey","260","250","28850","27470"
"In post","2022","West Wales and The Valleys","South West Wales","1600","1480","31260","27570"
"In post","2022","West Wales and The Valleys","Swansea","9200","8250","27800","22600"
"In post","2022","West Yorkshire","Bradford","2770","2440","26050","22080"
"In post","2022","West Yorkshire","Calderdale and Kirklees","1070","960","28350","27570"
"In post","2022","West Yorkshire","Leeds","13510","12780","34630","30820"
"In post","2022","West Yorkshire","Wakefield","1810","1670","30910","27570"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Bedford","90","80","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Hertfordshire","260","230","32230","29290"
"Leaver CS","2021","Bedfordshire and Hertfordshire","Luton","120","100","[c]","[c]"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","170","160","33570","28750"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","160","150","31250","29930"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","170","140","34230","30630"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","220","200","28740","22880"
"Leaver CS","2021","Cheshire","Cheshire East","70","60","[c]","[c]"
"Leaver CS","2021","Cheshire","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cheshire","Warrington","120","100","28910","26780"
"Leaver CS","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","90","80","27030","24670"
"Leaver CS","2021","Cumbria","East Cumbria","50","50","[c]","[c]"
"Leaver CS","2021","Cumbria","West Cumbria","70","60","28540","25190"
"Leaver CS","2021","Derbyshire and Nottinghamshire","Derby","60","50","23820","21010"
"Leaver CS","2021","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Derbyshire and Nottinghamshire","North Nottinghamshire","60","50","[c]","[c]"
"Leaver CS","2021","Derbyshire and Nottinghamshire","Nottingham","380","340","27620","24000"
"Leaver CS","2021","Derbyshire and Nottinghamshire","South and West Derbyshire","60","40","[c]","[c]"
"Leaver CS","2021","Derbyshire and Nottinghamshire","South Nottinghamshire","50","40","[c]","[c]"
"Leaver CS","2021","Devon","Devon CC","430","380","24210","21010"
"Leaver CS","2021","Devon","Plymouth","160","140","29190","27130"
"Leaver CS","2021","Devon","Torbay","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Dorset and Somerset","Bournemouth and Poole","40","30","[c]","[c]"
"Leaver CS","2021","Dorset and Somerset","Dorset CC","160","150","29190","27030"
"Leaver CS","2021","Dorset and Somerset","Somerset","140","130","30410","27590"
"Leaver CS","2021","East Anglia","Breckland and South Norfolk","70","60","[c]","[c]"
"Leaver CS","2021","East Anglia","Cambridgeshire CC","200","190","38510","31150"
"Leaver CS","2021","East Anglia","North and West Norfolk","40","40","[c]","[c]"
"Leaver CS","2021","East Anglia","Norwich and East Norfolk","130","110","27300","21130"
"Leaver CS","2021","East Anglia","Peterborough","200","160","25430","21430"
"Leaver CS","2021","East Anglia","Suffolk","340","310","28430","26220"
"Leaver CS","2021","East Wales","Cardiff and Vale of Glamorgan","590","500","35720","27570"
