"Status","Year","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Outer London - East and North East","Bexley and Greenwich","1760","1680","31820","31060"
"In post","2021","Outer London - East and North East","Enfield","360","340","30130","31060"
"In post","2021","Outer London - East and North East","Redbridge and Waltham Forest","1060","970","28990","30780"
"In post","2021","Outer London - South","Bromley","460","420","29400","31060"
"In post","2021","Outer London - South","Croydon","9620","9140","38350","35070"
"In post","2021","Outer London - South","Merton, Kingston upon Thames and Sutton","660","620","31120","31060"
"In post","2021","Outer London - West and North West","Barnet","1680","1580","39880","32650"
"In post","2021","Outer London - West and North West","Brent","600","560","31430","31060"
"In post","2021","Outer London - West and North West","Ealing","520","490","31310","31060"
"In post","2021","Outer London - West and North West","Harrow and Hillingdon","3400","3080","31170","29250"
"In post","2021","Outer London - West and North West","Hounslow and Richmond upon Thames","2860","2710","32620","31060"
"In post","2021","Overseas","Overseas","3750","3740","49990","49760"
"In post","2021","Shropshire and Staffordshire","Shropshire CC","1170","1110","29090","27570"
"In post","2021","Shropshire and Staffordshire","Staffordshire CC","3970","3730","29880","27570"
"In post","2021","Shropshire and Staffordshire","Stoke-on-Trent","1240","1110","25180","21170"
"In post","2021","Shropshire and Staffordshire","Telford and Wrekin","1930","1780","33330","27570"
"In post","2021","South Yorkshire","Barnsley, Doncaster and Rotherham","3000","2670","27170","27150"
"In post","2021","South Yorkshire","Sheffield","6930","6400","33200","29360"
"In post","2021","Southern Scotland","Dumfries and Galloway","570","520","29320","27570"
"In post","2021","Southern Scotland","East Ayrshire and North Ayrshire mainland","960","870","26710","26570"
"In post","2021","Southern Scotland","Scottish Borders","480","440","29450","27570"
"In post","2021","Southern Scotland","South Ayrshire","320","290","27970","27570"
"In post","2021","Southern Scotland","South Lanarkshire","3700","3320","30270","26120"
"In post","2021","Surrey, East and West Sussex","Brighton and Hove","660","590","30600","27570"
"In post","2021","Surrey, East and West Sussex","East Surrey","990","940","33430","33590"
"In post","2021","Surrey, East and West Sussex","East Sussex CC","2000","1790","26810","27570"
"In post","2021","Surrey, East and West Sussex","West Surrey","2110","1990","32810","29290"
"In post","2021","Surrey, East and West Sussex","West Sussex (North East)","1230","1100","30730","27570"
"In post","2021","Surrey, East and West Sussex","West Sussex (South West)","1320","1200","30150","27570"
"In post","2021","Tees Valley and Durham","Darlington","980","920","35680","30900"
"In post","2021","Tees Valley and Durham","Durham CC","5590","5030","27020","25310"
"In post","2021","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","1550","1410","27240","27570"
