"Status","Year","Region_ITL3","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","AA/AO","550","500","25300","22230"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","EO","600","560","29290","27570"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","G6/G7","130","130","66530","61010"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","SEO/HEO","590","560","46020","39100"
"In post","2021","Angus and Dundee City","Eastern Scotland","AA/AO","1110","1010","21120","21010"
"In post","2021","Angus and Dundee City","Eastern Scotland","EO","490","450","27430","27570"
"In post","2021","Angus and Dundee City","Eastern Scotland","G6/G7","70","70","61750","61010"
"In post","2021","Angus and Dundee City","Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","SEO/HEO","230","220","36870","34290"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","AA/AO","150","150","20680","20310"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","AA/AO","170","170","21240","20310"
"In post","2021","Ards and North Down","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","AA/AO","110","100","23280","23210"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","EO","380","350","30980","31060"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","SEO/HEO","50","50","38340","37290"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Unknown","50","40","[c]","[c]"
"In post","2021","Barnet","Outer London - West and North West","AA/AO","270","240","23800","23530"
"In post","2021","Barnet","Outer London - West and North West","EO","440","410","30040","31060"
"In post","2021","Barnet","Outer London - West and North West","G6/G7","310","300","60050","56490"
"In post","2021","Barnet","Outer London - West and North West","SCS","40","40","[c]","[c]"
"In post","2021","Barnet","Outer London - West and North West","SEO/HEO","570","550","38940","39690"
"In post","2021","Barnet","Outer London - West and North West","Unknown","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","AA/AO","1510","1340","23120","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","EO","940","820","28310","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","SEO/HEO","310","290","37620","35570"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Unknown","210","190","29510","30210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","760","700","23120","21130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","EO","2610","2480","24800","25750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","1920","1870","57400","55220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","150","150","100420","92370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","6380","6150","36560","36550"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","1530","1480","41280","39100"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","AA/AO","290","280","25890","25840"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","EO","280","260","27760","27570"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","SEO/HEO","160","160","38070","36950"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Unknown","70","60","27390","23840"
"In post","2021","Belfast","Northern Ireland","AA/AO","1000","900","20660","20140"
"In post","2021","Belfast","Northern Ireland","EO","820","770","26290","25560"
"In post","2021","Belfast","Northern Ireland","G6/G7","210","210","54770","52580"
"In post","2021","Belfast","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","SEO/HEO","760","740","34280","31810"
"In post","2021","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","1000","960","27560","25540"
"In post","2021","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","EO","800","750","30940","29290"
"In post","2021","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","290","280","56950","54540"
"In post","2021","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","650","620","37850","36840"
"In post","2021","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","Unknown","190","190","31760","31910"
"In post","2021","Bexley and Greenwich","Outer London - East and North East","AA/AO","880","840","28470","28720"
"In post","2021","Bexley and Greenwich","Outer London - East and North East","EO","550","510","32070","31060"
"In post","2021","Bexley and Greenwich","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Outer London - East and North East","SEO/HEO","190","190","41490","39670"
"In post","2021","Bexley and Greenwich","Outer London - East and North East","Unknown","130","130","33350","33950"
"In post","2021","Birmingham","West Midlands","AA/AO","3570","3230","21010","20180"
"In post","2021","Birmingham","West Midlands","EO","3310","3060","26620","27570"
"In post","2021","Birmingham","West Midlands","G6/G7","1150","1100","57620","54200"
"In post","2021","Birmingham","West Midlands","SCS","110","100","99910","94650"
"In post","2021","Birmingham","West Midlands","SEO/HEO","3020","2900","35690","33350"
"In post","2021","Birmingham","West Midlands","Unknown","440","400","30160","28200"
"In post","2021","Blackburn with Darwen","Lancashire","AA/AO","150","130","21040","21010"
"In post","2021","Blackburn with Darwen","Lancashire","EO","220","200","27500","27570"
"In post","2021","Blackburn with Darwen","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Lancashire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Lancashire","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Blackburn with Darwen","Lancashire","Unknown","70","60","28470","28200"
"In post","2021","Blackpool","Lancashire","AA/AO","1760","1580","20840","21010"
"In post","2021","Blackpool","Lancashire","EO","1860","1680","27440","27570"
"In post","2021","Blackpool","Lancashire","G6/G7","420","400","55530","52730"
"In post","2021","Blackpool","Lancashire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Lancashire","SEO/HEO","1020","970","34490","34290"
"In post","2021","Blackpool","Lancashire","Unknown","70","70","29310","30210"
"In post","2021","Bournemouth and Poole","Dorset and Somerset","AA/AO","200","180","20310","20100"
"In post","2021","Bournemouth and Poole","Dorset and Somerset","EO","330","290","27070","27570"
"In post","2021","Bournemouth and Poole","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Dorset and Somerset","SEO/HEO","80","70","34550","33300"
"In post","2021","Bournemouth and Poole","Dorset and Somerset","Unknown","100","90","28540","25460"
"In post","2021","Bradford","West Yorkshire","AA/AO","1330","1120","20480","20140"
"In post","2021","Bradford","West Yorkshire","EO","950","850","26690","27570"
"In post","2021","Bradford","West Yorkshire","G6/G7","180","170","54880","52580"
"In post","2021","Bradford","West Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","West Yorkshire","SEO/HEO","500","470","34120","31990"
"In post","2021","Bradford","West Yorkshire","Unknown","120","120","30150","30210"
"In post","2021","Breckland and South Norfolk","East Anglia","AA/AO","300","290","24220","23420"
"In post","2021","Breckland and South Norfolk","East Anglia","EO","130","120","28750","27570"
"In post","2021","Breckland and South Norfolk","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East Anglia","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East Anglia","SEO/HEO","70","70","38300","36670"
"In post","2021","Breckland and South Norfolk","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Outer London - West and North West","AA/AO","160","140","23490","23500"
"In post","2021","Brent","Outer London - West and North West","EO","270","260","30670","31060"
"In post","2021","Brent","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Brent","Outer London - West and North West","SEO/HEO","90","90","40700","37380"
"In post","2021","Brent","Outer London - West and North West","Unknown","60","60","32640","29210"
"In post","2021","Bridgend and Neath Port Talbot","West Wales and The Valleys","AA/AO","270","230","20500","21010"
"In post","2021","Bridgend and Neath Port Talbot","West Wales and The Valleys","EO","290","260","27980","27570"
"In post","2021","Bridgend and Neath Port Talbot","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","West Wales and The Valleys","SEO/HEO","80","80","36560","34290"
"In post","2021","Bridgend and Neath Port Talbot","West Wales and The Valleys","Unknown","60","60","33630","31420"
"In post","2021","Brighton and Hove","Surrey, East and West Sussex","AA/AO","160","140","20510","20650"
"In post","2021","Brighton and Hove","Surrey, East and West Sussex","EO","270","240","27590","27570"
"In post","2021","Brighton and Hove","Surrey, East and West Sussex","G6/G7","70","60","59430","60350"
"In post","2021","Brighton and Hove","Surrey, East and West Sussex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Surrey, East and West Sussex","SEO/HEO","70","70","36430","35290"
"In post","2021","Brighton and Hove","Surrey, East and West Sussex","Unknown","90","80","28790","25340"
"In post","2021","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","1330","1220","21520","21010"
"In post","2021","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","EO","1430","1310","26650","27250"
"In post","2021","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","1430","1340","56600","53830"
"In post","2021","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","90","80","92100","84000"
"In post","2021","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","2170","2040","35400","34390"
"In post","2021","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","160","150","28840","28200"
"In post","2021","Bromley","Outer London - South","AA/AO","140","130","22290","22120"
"In post","2021","Bromley","Outer London - South","EO","240","220","31060","31060"
"In post","2021","Bromley","Outer London - South","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Outer London - South","SEO/HEO","50","50","39600","38450"
"In post","2021","Bromley","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
