"Status","Year","Sexual_orientation","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East of England","Department for Work and Pensions","3140","2860","28720","27570"
"In post","2021","Heterosexual / straight","East of England","Department of Health and Social Care","470","430","42920","37640"
"In post","2021","Heterosexual / straight","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","HM Land Registry","170","160","32790","29760"
"In post","2021","Heterosexual / straight","East of England","HM Revenue and Customs","990","900","32890","31810"
"In post","2021","Heterosexual / straight","East of England","HM Treasury","60","50","32000","29320"
"In post","2021","Heterosexual / straight","East of England","Home Office","1550","1390","26550","25220"
"In post","2021","Heterosexual / straight","East of England","Ministry of Defence","2890","2800","31940","29200"
"In post","2021","Heterosexual / straight","East of England","Ministry of Housing, Communities and Local Government","60","60","39390","36340"
"In post","2021","Heterosexual / straight","East of England","Ministry of Justice","4720","4430","28910","27700"
"In post","2021","Heterosexual / straight","East of England","National Crime Agency","100","90","38270","37590"
"In post","2021","Heterosexual / straight","East of England","Office for Standards in Education","80","80","62190","64500"
"In post","2021","Heterosexual / straight","East of England","Other Cabinet Office Agencies","120","110","36070","34800"
"In post","2021","Heterosexual / straight","London","Attorney General's Departments","3120","2960","49120","51250"
"In post","2021","Heterosexual / straight","London","Cabinet Office","3220","3160","51980","54700"
"In post","2021","Heterosexual / straight","London","Chancellor's other departments","260","250","60720","50560"
"In post","2021","Heterosexual / straight","London","Charity Commission","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Competition and Markets Authority","640","610","60050","56360"
"In post","2021","Heterosexual / straight","London","Department for Business, Energy and Industrial Strategy","3840","3750","49430","52330"
"In post","2021","Heterosexual / straight","London","Department for Digital, Culture, Media and Sport","1210","1180","49960","51730"
"In post","2021","Heterosexual / straight","London","Department for Education","1690","1630","50400","53420"
"In post","2021","Heterosexual / straight","London","Department for Environment, Food and Rural Affairs","1690","1640","44910","39420"
"In post","2021","Heterosexual / straight","London","Department for International Trade","1290","1270","45990","39440"
"In post","2021","Heterosexual / straight","London","Department for Transport","2180","2130","48430","43670"
"In post","2021","Heterosexual / straight","London","Department for Work and Pensions","6420","6090","34040","31060"
"In post","2021","Heterosexual / straight","London","Department of Health and Social Care","3440","3240","46840","40850"
"In post","2021","Heterosexual / straight","London","Food Standards Agency","320","310","42530","40350"
"In post","2021","Heterosexual / straight","London","Foreign, Commonwealth and Development Office","2900","2830","49410","44230"
"In post","2021","Heterosexual / straight","London","HM Land Registry","210","200","42830","37290"
"In post","2021","Heterosexual / straight","London","HM Revenue and Customs","4900","4670","44320","38700"
"In post","2021","Heterosexual / straight","London","HM Treasury","1660","1620","48880","52500"
"In post","2021","Heterosexual / straight","London","Home Office","10450","9850","39720","35070"
