"Status","Year","Disability","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for Transport","80","70","37550","33350"
"In post","2021","Declared disabled","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","HM Revenue and Customs","160","150","39070","35000"
"In post","2021","Declared disabled","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Home Office","80","80","51960","47940"
"In post","2021","Declared disabled","Digital, Data and Technology","Ministry of Defence","180","170","33660","31940"
"In post","2021","Declared disabled","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Ministry of Justice","90","90","43060","40480"
"In post","2021","Declared disabled","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Department for Education","70","60","40670","37100"
"In post","2021","Declared disabled","Finance","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Declared disabled","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Department for Transport","40","40","[c]","[c]"
"In post","2021","Declared disabled","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","HM Revenue and Customs","160","140","31240","25560"
"In post","2021","Declared disabled","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Ministry of Defence","200","190","36130","33300"
"In post","2021","Declared disabled","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Ministry of Justice","90","90","39250","33930"
"In post","2021","Declared disabled","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Department for Transport","50","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","HM Revenue and Customs","100","90","41080","37930"
"In post","2021","Declared disabled","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Home Office","80","80","44520","37490"
"In post","2021","Declared disabled","Human Resources","Ministry of Defence","240","220","32980","28650"
"In post","2021","Declared disabled","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Ministry of Justice","150","140","42790","40460"
"In post","2021","Declared disabled","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Office for Standards in Education","60","50","60410","51360"
"In post","2021","Declared disabled","Intelligence Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Home Office","130","120","29960","28670"
"In post","2021","Declared disabled","Intelligence Analysis","Ministry of Defence","80","80","36140","33300"
"In post","2021","Declared disabled","Intelligence Analysis","Ministry of Justice","50","50","30200","28080"
"In post","2021","Declared disabled","Intelligence Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","HM Treasury","40","40","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Department for International Trade","90","90","46700","48680"
"In post","2021","Declared disabled","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Ministry of Defence","140","140","33950","31770"
"In post","2021","Declared disabled","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
