"Status","Year","Responsibility_level","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Female","40","30","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Female","560","500","21820","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","Male","260","250","22000","21050"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Female","320","280","21750","20920"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Male","240","230","21890","20920"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Female","40","30","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Female","290","240","21870","22490"
"In post","2021","AA/AO","Companies House","Male","140","140","21420","22490"
"In post","2021","AA/AO","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Female","60","60","20380","20650"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","Male","50","50","20120","20480"
"In post","2021","AA/AO","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Female","540","470","21900","22220"
"In post","2021","AA/AO","Crown Office and Procurator Fiscal Service","Male","170","160","22050","22220"
"In post","2021","AA/AO","Crown Prosecution Service","Female","1070","950","22250","21950"
"In post","2021","AA/AO","Crown Prosecution Service","Male","390","380","22200","21950"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Defence Electronics and Components Agency","Male","60","60","19510","19810"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Female","40","40","[c]","[c]"
"In post","2021","AA/AO","Defence Science and Technology Laboratory","Male","90","90","19130","17710"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","50","40","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","30","30","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Female","50","50","22180","21000"
"In post","2021","AA/AO","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
