"Status","Year","Parent_department","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","AA/AO","170","160","22800","23520"
"In post","2021","Attorney General's Departments","Asian","EO","170","160","27960","27580"
"In post","2021","Attorney General's Departments","Asian","G6/G7","410","380","56880","54200"
"In post","2021","Attorney General's Departments","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","SEO/HEO","130","130","37090","38090"
"In post","2021","Attorney General's Departments","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","AA/AO","110","100","23240","23520"
"In post","2021","Attorney General's Departments","Black","EO","150","140","28250","27740"
"In post","2021","Attorney General's Departments","Black","G6/G7","200","190","58660","58970"
"In post","2021","Attorney General's Departments","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","SEO/HEO","90","90","36420","35010"
"In post","2021","Attorney General's Departments","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","AA/AO","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","EO","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","G6/G7","150","140","57890","55610"
"In post","2021","Attorney General's Departments","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","G6/G7","80","70","60210","59930"
"In post","2021","Attorney General's Departments","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","G6/G7","80","80","59030","55610"
"In post","2021","Attorney General's Departments","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","AA/AO","190","170","21820","21950"
"In post","2021","Attorney General's Departments","Unknown","EO","200","180","28080","27760"
"In post","2021","Attorney General's Departments","Unknown","G6/G7","580","540","60600","59380"
"In post","2021","Attorney General's Departments","Unknown","SCS","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SEO/HEO","150","150","36470","36240"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","AA/AO","990","910","22190","21950"
"In post","2021","Attorney General's Departments","White","EO","1140","1060","28020","28430"
"In post","2021","Attorney General's Departments","White","G6/G7","3250","3000","58330","55610"
"In post","2021","Attorney General's Departments","White","SCS","230","220","88040","82540"
"In post","2021","Attorney General's Departments","White","SEO/HEO","980","950","36530","37730"
"In post","2021","Attorney General's Departments","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","EO","80","80","27800","27500"
"In post","2021","Cabinet Office","Asian","G6/G7","170","170","58360","56340"
"In post","2021","Cabinet Office","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","SEO/HEO","180","170","36950","35590"
"In post","2021","Cabinet Office","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","EO","60","60","27890","27500"
"In post","2021","Cabinet Office","Black","G6/G7","70","70","59070","56340"
"In post","2021","Cabinet Office","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","SEO/HEO","110","100","36970","35590"
"In post","2021","Cabinet Office","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","G6/G7","70","70","58270","54700"
"In post","2021","Cabinet Office","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","SEO/HEO","80","80","35670","34640"
"In post","2021","Cabinet Office","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","EO","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","G6/G7","100","90","58680","57820"
"In post","2021","Cabinet Office","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","SEO/HEO","80","80","36640","34810"
"In post","2021","Cabinet Office","Unknown","AA/AO","180","170","21470","20920"
"In post","2021","Cabinet Office","Unknown","EO","180","180","27330","27500"
"In post","2021","Cabinet Office","Unknown","G6/G7","980","960","61500","56340"
"In post","2021","Cabinet Office","Unknown","SCS","490","480","88880","73700"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","2210","2200","31460","29250"
"In post","2021","Cabinet Office","White","AA/AO","310","290","21770","20920"
"In post","2021","Cabinet Office","White","EO","500","490","26970","27500"
"In post","2021","Cabinet Office","White","G6/G7","1610","1570","58740","56340"
"In post","2021","Cabinet Office","White","SCS","410","400","95770","84560"
"In post","2021","Cabinet Office","White","SEO/HEO","1340","1320","36210","35590"
"In post","2021","Chancellor's other departments","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","SCS","[c]","[c]","[c]","[c]"
