"Status","Year","Disability","Responsibility_level","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Bedfordshire and Hertfordshire","130","120","23430","22390"
"In post","2021","Declared disabled","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","330","320","25160","22920"
"In post","2021","Declared disabled","AA/AO","Cheshire","130","110","21950","21010"
"In post","2021","Declared disabled","AA/AO","Cornwall and Isles of Scilly","90","80","20810","21010"
"In post","2021","Declared disabled","AA/AO","Cumbria","100","90","21100","21050"
"In post","2021","Declared disabled","AA/AO","Derbyshire and Nottinghamshire","450","410","21820","21010"
"In post","2021","Declared disabled","AA/AO","Devon","370","320","21830","21010"
"In post","2021","Declared disabled","AA/AO","Dorset and Somerset","200","180","22200","21010"
"In post","2021","Declared disabled","AA/AO","East Anglia","490","440","22780","21100"
"In post","2021","Declared disabled","AA/AO","East Wales","530","470","21100","21010"
"In post","2021","Declared disabled","AA/AO","East Yorkshire and Northern Lincolnshire","190","160","22630","21010"
"In post","2021","Declared disabled","AA/AO","Eastern Scotland","590","540","22010","21010"
"In post","2021","Declared disabled","AA/AO","Essex","210","180","23710","22980"
"In post","2021","Declared disabled","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","440","400","21630","21010"
"In post","2021","Declared disabled","AA/AO","Greater Manchester","670","590","21100","21010"
"In post","2021","Declared disabled","AA/AO","Hampshire and Isle of Wight","520","440","21300","20920"
"In post","2021","Declared disabled","AA/AO","Herefordshire, Worcestershire and Warwickshire","180","160","22760","21010"
"In post","2021","Declared disabled","AA/AO","Highlands and Islands","60","50","21650","21010"
"In post","2021","Declared disabled","AA/AO","Inner London - East","320","290","25210","25060"
"In post","2021","Declared disabled","AA/AO","Inner London - West","500","460","25240","24490"
"In post","2021","Declared disabled","AA/AO","Kent","330","300","23790","23240"
"In post","2021","Declared disabled","AA/AO","Lancashire","820","710","21480","21010"
"In post","2021","Declared disabled","AA/AO","Leicestershire, Rutland and Northamptonshire","350","310","21180","21000"
"In post","2021","Declared disabled","AA/AO","Lincolnshire","150","140","21760","21010"
"In post","2021","Declared disabled","AA/AO","Merseyside","900","770","20970","21010"
"In post","2021","Declared disabled","AA/AO","North Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","North Yorkshire","130","120","21790","21010"
"In post","2021","Declared disabled","AA/AO","Northern Ireland","140","130","21130","20810"
"In post","2021","Declared disabled","AA/AO","Northumberland and Tyne and Wear","1060","890","20760","21010"
"In post","2021","Declared disabled","AA/AO","Outer London - East and North East","140","130","25120","24510"
"In post","2021","Declared disabled","AA/AO","Outer London - South","210","180","24350","25630"
"In post","2021","Declared disabled","AA/AO","Outer London - West and North West","210","190","25390","25110"
"In post","2021","Declared disabled","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Shropshire and Staffordshire","380","350","22280","21010"
"In post","2021","Declared disabled","AA/AO","South Yorkshire","390","330","21390","21010"
"In post","2021","Declared disabled","AA/AO","Southern Scotland","180","150","21230","21010"
"In post","2021","Declared disabled","AA/AO","Surrey, East and West Sussex","330","290","23010","21010"
"In post","2021","Declared disabled","AA/AO","Tees Valley and Durham","500","430","22170","21010"
"In post","2021","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","West Central Scotland","740","640","21420","21010"
"In post","2021","Declared disabled","AA/AO","West Midlands","620","540","20840","20880"
"In post","2021","Declared disabled","AA/AO","West Wales and The Valleys","890","740","20730","21010"
"In post","2021","Declared disabled","AA/AO","West Yorkshire","510","430","21540","21010"
"In post","2021","Declared disabled","EO","Bedfordshire and Hertfordshire","200","190","29140","29290"
