"Status","Year","Responsibility_level","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Department for Work and Pensions","70","60","20760","21010"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Ministry of Defence","90","90","37390","41570"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Scottish Government","340","310","23060","22430"
"In post","2021","AA/AO","Angus and Dundee City","Department for Work and Pensions","590","540","20930","21010"
"In post","2021","AA/AO","Angus and Dundee City","HM Revenue and Customs","210","200","20600","20140"
"In post","2021","AA/AO","Angus and Dundee City","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Scottish Government","260","240","22080","22230"
"In post","2021","AA/AO","Antrim and Newtownabbey","Ministry of Defence","150","150","20680","20310"
"In post","2021","AA/AO","Ards and North Down","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Ministry of Defence","150","150","20920","20310"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Department for Work and Pensions","60","50","24610","25110"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Ministry of Justice","60","50","22000","22450"
"In post","2021","AA/AO","Barnet","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","AA/AO","Barnet","Department of Health and Social Care","180","150","23860","23530"
"In post","2021","AA/AO","Barnet","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","600","500","20790","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Ministry of Justice","860","800","24690","24120"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","40","30","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","270","250","21670","20920"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","380","340","24510","23330"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","40","30","[c]","[c]"
"In post","2021","AA/AO","Bedford","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedford","Ministry of Justice","240","240","26710","27850"
"In post","2021","AA/AO","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","HM Revenue and Customs","710","640","20450","20140"
"In post","2021","AA/AO","Belfast","Home Office","220","180","21260","21430"
"In post","2021","AA/AO","Belfast","Ministry of Defence","60","60","20430","20310"
"In post","2021","AA/AO","Belfast","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Belfast","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
