"Status","Year","Responsibility_level","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","Heterosexual / straight","1080","1000","22390","21950"
"In post","2021","AA/AO","Attorney General's Departments","LGBO","60","60","22080","21950"
"In post","2021","AA/AO","Attorney General's Departments","Undeclared","50","50","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Unknown","340","310","22160","21950"
"In post","2021","AA/AO","Cabinet Office","Heterosexual / straight","320","290","21880","20920"
"In post","2021","AA/AO","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Undeclared","40","30","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Unknown","170","170","21450","20920"
"In post","2021","AA/AO","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","680","620","21680","21140"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","LGBO","50","50","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Undeclared","60","60","22150","22490"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Unknown","700","650","21560","20880"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Heterosexual / straight","70","60","21650","21000"
"In post","2021","AA/AO","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Heterosexual / straight","1070","970","21670","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","LGBO","80","70","21680","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Undeclared","110","100","21520","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Unknown","780","710","21280","21050"
"In post","2021","AA/AO","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Heterosexual / straight","3250","2870","21860","21590"
"In post","2021","AA/AO","Department for Transport","LGBO","160","150","21580","21590"
"In post","2021","AA/AO","Department for Transport","Undeclared","1280","1030","20920","21590"
"In post","2021","AA/AO","Department for Transport","Unknown","1010","910","22730","21590"
"In post","2021","AA/AO","Department for Work and Pensions","Heterosexual / straight","17900","15530","21210","21010"
"In post","2021","AA/AO","Department for Work and Pensions","LGBO","1080","1020","21290","21010"
"In post","2021","AA/AO","Department for Work and Pensions","Undeclared","2610","2230","21180","21010"
"In post","2021","AA/AO","Department for Work and Pensions","Unknown","8010","6570","21100","21010"
"In post","2021","AA/AO","Department of Health and Social Care","Heterosexual / straight","710","630","21260","20900"
"In post","2021","AA/AO","Department of Health and Social Care","LGBO","50","40","[c]","[c]"
"In post","2021","AA/AO","Department of Health and Social Care","Undeclared","90","70","20780","19630"
"In post","2021","AA/AO","Department of Health and Social Care","Unknown","140","120","22070","22130"
"In post","2021","AA/AO","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Heterosexual / straight","430","420","25540","24750"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Unknown","100","100","25390","23520"
"In post","2021","AA/AO","HM Land Registry","Heterosexual / straight","850","790","22450","22350"
"In post","2021","AA/AO","HM Land Registry","LGBO","60","60","22350","22350"
"In post","2021","AA/AO","HM Land Registry","Undeclared","60","60","22860","22350"
"In post","2021","AA/AO","HM Land Registry","Unknown","880","840","22460","22350"
"In post","2021","AA/AO","HM Revenue and Customs","Heterosexual / straight","9570","8270","20790","20140"
"In post","2021","AA/AO","HM Revenue and Customs","LGBO","620","570","20620","20140"
"In post","2021","AA/AO","HM Revenue and Customs","Undeclared","1300","1110","21150","21400"
"In post","2021","AA/AO","HM Revenue and Customs","Unknown","10120","8790","20690","20140"
"In post","2021","AA/AO","HM Treasury","Heterosexual / straight","50","50","22430","22500"
"In post","2021","AA/AO","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Home Office","Heterosexual / straight","6760","5960","21980","21430"
"In post","2021","AA/AO","Home Office","LGBO","250","230","21550","21430"
"In post","2021","AA/AO","Home Office","Undeclared","800","690","22380","21430"
"In post","2021","AA/AO","Home Office","Unknown","520","500","21830","21430"
"In post","2021","AA/AO","Ministry of Defence","Heterosexual / straight","11990","11510","22480","20920"
"In post","2021","AA/AO","Ministry of Defence","LGBO","370","360","22990","20920"
"In post","2021","AA/AO","Ministry of Defence","Undeclared","1720","1650","23800","21130"
"In post","2021","AA/AO","Ministry of Defence","Unknown","1840","1770","24000","20920"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Heterosexual / straight","130","120","22780","22560"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","Unknown","80","70","22010","22560"
"In post","2021","AA/AO","Ministry of Justice","Heterosexual / straight","26640","24700","24160","22850"
"In post","2021","AA/AO","Ministry of Justice","LGBO","1770","1720","24870","23970"
"In post","2021","AA/AO","Ministry of Justice","Undeclared","3260","2960","24100","21710"
"In post","2021","AA/AO","Ministry of Justice","Unknown","8920","8260","25310","23970"
"In post","2021","AA/AO","National Crime Agency","Heterosexual / straight","240","230","23540","22980"
"In post","2021","AA/AO","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","National Crime Agency","Unknown","50","40","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Heterosexual / straight","170","160","21280","21160"
"In post","2021","AA/AO","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
