"Status","Year","Sex","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Finance","60","60","42410","38620"
"In post","2021","Female","Bedfordshire and Hertfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Legal","140","120","40190","35800"
"In post","2021","Female","Bedfordshire and Hertfordshire","No function","930","850","28410","25860"
"In post","2021","Female","Bedfordshire and Hertfordshire","Project Delivery","100","100","38930","37640"
"In post","2021","Female","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","Unknown","1190","1080","31480","29290"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Commercial","110","110","39260","35300"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Communications","40","40","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","90","80","40030","38200"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Finance","170","160","37060","33000"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","80","70","26380","21050"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","100","100","37010","31500"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Legal","150","130","43140","41750"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","No function","1930","1770","30720","27850"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","270","250","36570","33300"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Property","110","100","33000","30910"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Security","170","170","30940","27780"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Unknown","1490","1370","28560","27570"
"In post","2021","Female","Cheshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Digital, Data & Technology","60","50","40530","36740"
"In post","2021","Female","Cheshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Grants Management","60","60","24150","22980"
"In post","2021","Female","Cheshire","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Legal","30","30","[c]","[c]"
"In post","2021","Female","Cheshire","No function","1260","1190","30880","30640"
"In post","2021","Female","Cheshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","Unknown","650","570","25440","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","No function","140","120","27750","23840"
"In post","2021","Female","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","Unknown","690","600","25640","27570"
"In post","2021","Female","Cumbria","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Communications","50","40","27920","26030"
"In post","2021","Female","Cumbria","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Grants Management","430","360","23900","21050"
"In post","2021","Female","Cumbria","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Legal","40","30","[c]","[c]"
"In post","2021","Female","Cumbria","No function","380","340","26510","23240"
"In post","2021","Female","Cumbria","Project Delivery","70","70","32370","30600"
"In post","2021","Female","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","Unknown","210","180","26570","27570"
"In post","2021","Female","Derbyshire and Nottinghamshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Commercial","60","60","37500","37970"
"In post","2021","Female","Derbyshire and Nottinghamshire","Communications","230","220","30700","26700"
"In post","2021","Female","Derbyshire and Nottinghamshire","Counter Fraud","230","210","31980","31810"
"In post","2021","Female","Derbyshire and Nottinghamshire","Debt","130","110","21690","20140"
"In post","2021","Female","Derbyshire and Nottinghamshire","Digital, Data & Technology","80","70","42170","39670"
"In post","2021","Female","Derbyshire and Nottinghamshire","Finance","110","110","35150","31810"
"In post","2021","Female","Derbyshire and Nottinghamshire","Grants Management","40","30","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Human Resources","300","280","37800","33690"
"In post","2021","Female","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Legal","260","230","35680","28430"
"In post","2021","Female","Derbyshire and Nottinghamshire","No function","3490","3170","29750","26470"
"In post","2021","Female","Derbyshire and Nottinghamshire","Project Delivery","170","150","41140","38630"
"In post","2021","Female","Derbyshire and Nottinghamshire","Property","170","150","35020","32100"
"In post","2021","Female","Derbyshire and Nottinghamshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","Unknown","1620","1390","26050","27570"
"In post","2021","Female","Devon","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Commercial","120","110","40890","38370"
"In post","2021","Female","Devon","Communications","30","30","[c]","[c]"
"In post","2021","Female","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Digital, Data & Technology","420","380","37380","38450"
"In post","2021","Female","Devon","Finance","40","40","[c]","[c]"
"In post","2021","Female","Devon","Grants Management","90","80","25420","25190"
"In post","2021","Female","Devon","Human Resources","80","70","36150","32810"
"In post","2021","Female","Devon","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","Legal","80","70","40470","38890"
"In post","2021","Female","Devon","No function","1190","1060","28450","24920"
"In post","2021","Female","Devon","Project Delivery","250","230","37050","38200"
"In post","2021","Female","Devon","Property","270","240","26070","21100"
"In post","2021","Female","Devon","Security","60","50","25950","21250"
"In post","2021","Female","Devon","Unknown","1720","1420","25700","26120"
"In post","2021","Female","Dorset and Somerset","Analysis","50","50","30150","29270"
"In post","2021","Female","Dorset and Somerset","Commercial","40","30","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Human Resources","40","40","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","No function","1070","950","27680","26740"
"In post","2021","Female","Dorset and Somerset","Project Delivery","180","170","32280","30560"
"In post","2021","Female","Dorset and Somerset","Property","30","30","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Security","40","40","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","Unknown","910","780","26480","27570"
"In post","2021","Female","East Anglia","Analysis","160","140","31770","29270"
"In post","2021","Female","East Anglia","Commercial","200","190","38740","35760"
"In post","2021","Female","East Anglia","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Counter Fraud","200","180","26780","25560"
"In post","2021","Female","East Anglia","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Digital, Data & Technology","60","60","33220","29760"
"In post","2021","Female","East Anglia","Finance","90","80","32240","26930"
"In post","2021","Female","East Anglia","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Human Resources","90","90","34070","30000"
"In post","2021","Female","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","Legal","110","100","35070","29900"
"In post","2021","Female","East Anglia","No function","2730","2480","29530","26380"
"In post","2021","Female","East Anglia","Project Delivery","210","200","35510","33300"
"In post","2021","Female","East Anglia","Property","180","170","32040","33000"
"In post","2021","Female","East Anglia","Security","70","70","25220","20920"
"In post","2021","Female","East Anglia","Unknown","2200","1910","25770","26910"
"In post","2021","Female","East Wales","Analysis","550","510","35250","33020"
"In post","2021","Female","East Wales","Commercial","90","90","36440","34030"
"In post","2021","Female","East Wales","Communications","440","410","29680","25560"
"In post","2021","Female","East Wales","Counter Fraud","190","170","29800","27130"
"In post","2021","Female","East Wales","Debt","160","150","23090","20140"
"In post","2021","Female","East Wales","Digital, Data & Technology","360","340","38280","36070"
"In post","2021","Female","East Wales","Finance","110","100","31560","27290"
"In post","2021","Female","East Wales","Human Resources","320","290","35830","31000"
"In post","2021","Female","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Wales","Legal","260","230","39110","38090"
"In post","2021","Female","East Wales","No function","4310","3880","27760","23520"
"In post","2021","Female","East Wales","Project Delivery","220","200","36290","31810"
"In post","2021","Female","East Wales","Property","160","150","33550","31130"
"In post","2021","Female","East Wales","Security","40","40","[c]","[c]"
"In post","2021","Female","East Wales","Unknown","3780","3400","33770","27570"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Legal","70","60","39280","35790"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","No function","1110","990","26860","25420"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Property","40","40","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Unknown","1050","880","25480","27570"
"In post","2021","Female","Eastern Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Communications","80","80","34130","31810"
"In post","2021","Female","Eastern Scotland","Counter Fraud","110","100","30060","28130"
"In post","2021","Female","Eastern Scotland","Debt","310","280","21420","20140"
"In post","2021","Female","Eastern Scotland","Digital, Data & Technology","70","70","37810","34150"
"In post","2021","Female","Eastern Scotland","Finance","120","120","35410","31810"
"In post","2021","Female","Eastern Scotland","Human Resources","190","180","34840","32930"
"In post","2021","Female","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Legal","840","760","33420","29350"
"In post","2021","Female","Eastern Scotland","No function","2220","2050","29250","26350"
"In post","2021","Female","Eastern Scotland","Project Delivery","160","150","37310","33300"
"In post","2021","Female","Eastern Scotland","Property","150","140","30510","28120"
"In post","2021","Female","Eastern Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Eastern Scotland","Unknown","6390","5820","35620","28170"
"In post","2021","Female","Essex","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Female","Essex","Debt","40","30","[c]","[c]"
