"Status","Year","Sexual_orientation","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Female","Analysis","2180","2040","43150","38630"
"In post","2021","Heterosexual / straight","Female","Commercial","2210","2100","39780","35610"
"In post","2021","Heterosexual / straight","Female","Communications","2600","2450","36340","31810"
"In post","2021","Heterosexual / straight","Female","Counter Fraud","2800","2560","33020","31810"
"In post","2021","Heterosexual / straight","Female","Debt","1280","1090","24070","21440"
"In post","2021","Heterosexual / straight","Female","Digital, Data & Technology","3060","2900","40610","37100"
"In post","2021","Heterosexual / straight","Female","Finance","3650","3380","37690","33300"
"In post","2021","Heterosexual / straight","Female","Grants Management","470","400","26080","25100"
"In post","2021","Heterosexual / straight","Female","Human Resources","5140","4800","37840","33300"
"In post","2021","Heterosexual / straight","Female","Internal Audit","300","280","43600","41550"
"In post","2021","Heterosexual / straight","Female","Legal","5900","5380","44210","43530"
"In post","2021","Heterosexual / straight","Female","No function","64560","58750","32120","27960"
"In post","2021","Heterosexual / straight","Female","Project Delivery","9080","8600","39990","36500"
"In post","2021","Heterosexual / straight","Female","Property","2540","2360","33380","31100"
"In post","2021","Heterosexual / straight","Female","Security","1370","1320","32050","29250"
"In post","2021","Heterosexual / straight","Female","Unknown","68860","61490","30050","27570"
"In post","2021","Heterosexual / straight","Male","Analysis","2460","2420","44820","39950"
"In post","2021","Heterosexual / straight","Male","Commercial","1990","1970","45070","40500"
"In post","2021","Heterosexual / straight","Male","Communications","2170","2140","34370","31810"
"In post","2021","Heterosexual / straight","Male","Counter Fraud","3050","2960","35690","31810"
"In post","2021","Heterosexual / straight","Male","Debt","880","840","23970","20640"
"In post","2021","Heterosexual / straight","Male","Digital, Data & Technology","4860","4790","43010","38630"
"In post","2021","Heterosexual / straight","Male","Finance","2780","2740","43480","39000"
"In post","2021","Heterosexual / straight","Male","Grants Management","320","310","27430","25360"
"In post","2021","Heterosexual / straight","Male","Human Resources","1970","1930","39010","34240"
"In post","2021","Heterosexual / straight","Male","Internal Audit","290","280","49060","47170"
"In post","2021","Heterosexual / straight","Male","Legal","2940","2850","47900","49710"
"In post","2021","Heterosexual / straight","Male","No function","52350","50590","35030","31650"
"In post","2021","Heterosexual / straight","Male","Project Delivery","11170","10980","42150","39800"
"In post","2021","Heterosexual / straight","Male","Property","3360","3270","37270","33300"
"In post","2021","Heterosexual / straight","Male","Security","4650","4570","30760","26670"
"In post","2021","Heterosexual / straight","Male","Unknown","45730","44200","32040","27570"
"In post","2021","Heterosexual / straight","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Analysis","200","200","39780","36160"
"In post","2021","LGBO","Female","Commercial","80","80","36860","33000"
"In post","2021","LGBO","Female","Communications","140","130","34300","31810"
"In post","2021","LGBO","Female","Counter Fraud","150","140","33560","29570"
"In post","2021","LGBO","Female","Debt","60","60","23230","20140"
"In post","2021","LGBO","Female","Digital, Data & Technology","230","220","39360","36530"
"In post","2021","LGBO","Female","Finance","110","100","38550","33050"
"In post","2021","LGBO","Female","Grants Management","40","30","[c]","[c]"
"In post","2021","LGBO","Female","Human Resources","200","190","37560","32150"
"In post","2021","LGBO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Legal","220","210","41720","33460"
"In post","2021","LGBO","Female","No function","4200","4070","32230","29180"
"In post","2021","LGBO","Female","Project Delivery","390","380","39150","35290"
"In post","2021","LGBO","Female","Property","100","90","32260","29560"
"In post","2021","LGBO","Female","Security","120","120","31240","27990"
"In post","2021","LGBO","Female","Unknown","2790","2650","30170","27570"
"In post","2021","LGBO","Male","Analysis","220","220","42670","37020"
"In post","2021","LGBO","Male","Commercial","110","110","40570","36450"
"In post","2021","LGBO","Male","Communications","230","230","37080","32230"
"In post","2021","LGBO","Male","Counter Fraud","160","160","34910","31810"
"In post","2021","LGBO","Male","Debt","90","80","23140","20140"
"In post","2021","LGBO","Male","Digital, Data & Technology","290","290","43790","38650"
"In post","2021","LGBO","Male","Finance","140","140","42860","38600"
"In post","2021","LGBO","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Human Resources","250","250","41500","38350"
"In post","2021","LGBO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Legal","350","340","49360","51250"
"In post","2021","LGBO","Male","No function","3750","3660","36300","31810"
"In post","2021","LGBO","Male","Project Delivery","550","540","43410","38850"
"In post","2021","LGBO","Male","Property","130","130","36720","33000"
"In post","2021","LGBO","Male","Security","150","150","33690","31920"
"In post","2021","LGBO","Male","Unknown","3320","3240","31490","27570"
"In post","2021","LGBO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Analysis","200","180","42510","37750"
