"Status","Year","Sex","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","AA/AO","Asian","4600","3810","22130","21400"
"In post","2021","Female","AA/AO","Black","2470","2230","23400","23210"
"In post","2021","Female","AA/AO","Chinese","150","130","21600","21010"
"In post","2021","Female","AA/AO","Mixed","1110","990","22380","21150"
"In post","2021","Female","AA/AO","Other ethnicity","310","270","22590","21580"
"In post","2021","Female","AA/AO","Undeclared","2380","1980","21720","21010"
"In post","2021","Female","AA/AO","Unknown","12390","10990","21590","21010"
"In post","2021","Female","AA/AO","White","55930","47540","21660","21010"
"In post","2021","Female","EO","Asian","5630","5070","28380","28120"
"In post","2021","Female","EO","Black","3690","3500","29190","29290"
"In post","2021","Female","EO","Chinese","190","170","27760","27570"
"In post","2021","Female","EO","Mixed","1380","1280","27970","27570"
"In post","2021","Female","EO","Other ethnicity","430","400","28570","28130"
"In post","2021","Female","EO","Undeclared","2730","2410","28050","27570"
"In post","2021","Female","EO","Unknown","7370","6880","27420","27570"
"In post","2021","Female","EO","White","52050","46340","27300","27570"
"In post","2021","Female","G6/G7","Asian","1620","1560","58150","56470"
"In post","2021","Female","G6/G7","Black","790","780","57520","55610"
"In post","2021","Female","G6/G7","Chinese","150","140","58770","57850"
"In post","2021","Female","G6/G7","Mixed","680","650","58040","56380"
"In post","2021","Female","G6/G7","Other ethnicity","210","200","59390","58030"
"In post","2021","Female","G6/G7","Undeclared","930","880","58390","56790"
"In post","2021","Female","G6/G7","Unknown","3810","3630","58160","55490"
"In post","2021","Female","G6/G7","White","21990","20740","58350","56350"
"In post","2021","Female","SCS","Asian","160","150","93150","89740"
"In post","2021","Female","SCS","Black","50","50","90660","86320"
"In post","2021","Female","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Mixed","70","70","83150","79590"
"In post","2021","Female","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Undeclared","70","60","88830","82100"
"In post","2021","Female","SCS","Unknown","550","530","88220","78810"
"In post","2021","Female","SCS","White","2470","2340","88000","80590"
"In post","2021","Female","SEO/HEO","Asian","3900","3740","36670","36160"
"In post","2021","Female","SEO/HEO","Black","2440","2390","37090","36160"
"In post","2021","Female","SEO/HEO","Chinese","230","220","37750","37410"
"In post","2021","Female","SEO/HEO","Mixed","1300","1250","36420","35700"
"In post","2021","Female","SEO/HEO","Other ethnicity","380","370","37640","36650"
"In post","2021","Female","SEO/HEO","Undeclared","2190","2060","36680","36170"
"In post","2021","Female","SEO/HEO","Unknown","7990","7680","35240","33930"
"In post","2021","Female","SEO/HEO","White","47540","44630","36350","35310"
"In post","2021","Female","Unknown","Asian","420","380","29430","28200"
"In post","2021","Female","Unknown","Black","600","580","31370","28690"
"In post","2021","Female","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Mixed","290","260","30750","30210"
"In post","2021","Female","Unknown","Other ethnicity","50","50","29980","28200"
"In post","2021","Female","Unknown","Undeclared","250","230","31710","31980"
"In post","2021","Female","Unknown","Unknown","1010","910","28840","28200"
"In post","2021","Female","Unknown","White","7700","7060","30440","30210"
"In post","2021","Male","AA/AO","Asian","3410","3230","22370","21010"
"In post","2021","Male","AA/AO","Black","1620","1580","25330","24120"
"In post","2021","Male","AA/AO","Chinese","120","110","22830","21430"
"In post","2021","Male","AA/AO","Mixed","810","790","24060","22350"
"In post","2021","Male","AA/AO","Other ethnicity","260","250","24540","22230"
"In post","2021","Male","AA/AO","Undeclared","2640","2510","23340","21430"
"In post","2021","Male","AA/AO","Unknown","11280","10880","22830","21010"
"In post","2021","Male","AA/AO","White","41190","39300","23530","21430"
"In post","2021","Male","EO","Asian","4180","4090","28080","27570"
"In post","2021","Male","EO","Black","1730","1690","29160","29080"
"In post","2021","Male","EO","Chinese","120","110","27890","27660"
"In post","2021","Male","EO","Mixed","830","810","28350","27570"
"In post","2021","Male","EO","Other ethnicity","310","300","28310","27570"
"In post","2021","Male","EO","Undeclared","3140","2970","28480","27570"
"In post","2021","Male","EO","Unknown","7370","7190","27780","27500"
"In post","2021","Male","EO","White","37750","36240","27970","27570"
"In post","2021","Male","G6/G7","Asian","1380","1370","59070","57460"
"In post","2021","Male","G6/G7","Black","480","470","58900","57460"
"In post","2021","Male","G6/G7","Chinese","100","100","57660","55490"
"In post","2021","Male","G6/G7","Mixed","620","610","58480","56350"
"In post","2021","Male","G6/G7","Other ethnicity","230","230","60140","57260"
"In post","2021","Male","G6/G7","Undeclared","1910","1860","58770","57240"
