"Status","Year","Sexual_orientation","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","20-29","110","110","27590","27150"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","30-39","240","230","34800","30680"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","40-49","270","260","42980","35110"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","50-59","340","330","40090","32700"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","60-64","80","70","35850","27570"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","20-29","110","110","23940","21150"
"In post","2021","Heterosexual / straight","Angus and Dundee City","30-39","290","270","26730","23730"
"In post","2021","Heterosexual / straight","Angus and Dundee City","40-49","300","280","27640","26160"
"In post","2021","Heterosexual / straight","Angus and Dundee City","50-59","350","330","28640","24550"
"In post","2021","Heterosexual / straight","Angus and Dundee City","60-64","110","90","25310","21440"
"In post","2021","Heterosexual / straight","Angus and Dundee City","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","40-49","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","50-59","80","80","24520","20310"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","40-49","60","50","25840","20310"
"In post","2021","Heterosexual / straight","Ards and North Down","50-59","90","80","24840","20920"
"In post","2021","Heterosexual / straight","Ards and North Down","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","20-29","70","70","30060","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","30-39","70","60","29970","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","40-49","80","70","30490","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","50-59","150","130","31020","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","60-64","[c]","[c]","[c]","[c]"
