"Status","Year","Profession_of_post","Disability","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","London","80","80","44430","41030"
"In post","2021","Commercial","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","North West (England)","50","50","38100","37040"
"In post","2021","Commercial","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","South East (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Declared disabled","South West (England)","170","160","39890","37560"
"In post","2021","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","East Midlands (England)","90","90","43740","43130"
"In post","2021","Commercial","Declared non-disabled","East of England","140","130","40190","36970"
"In post","2021","Commercial","Declared non-disabled","London","560","550","47870","43840"
"In post","2021","Commercial","Declared non-disabled","North East (England)","80","80","43490","40930"
"In post","2021","Commercial","Declared non-disabled","North West (England)","270","260","41550","38280"
"In post","2021","Commercial","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Scotland","130","120","38470","35420"
"In post","2021","Commercial","Declared non-disabled","South East (England)","340","330","38350","36800"
"In post","2021","Commercial","Declared non-disabled","South West (England)","1250","1210","39100","37320"
"In post","2021","Commercial","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Wales","220","210","35790","32020"
"In post","2021","Commercial","Declared non-disabled","West Midlands (England)","180","170","39210","36780"
"In post","2021","Commercial","Declared non-disabled","Yorkshire and The Humber","210","210","40850","37170"
"In post","2021","Commercial","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","London","60","60","48430","46360"
"In post","2021","Commercial","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","South East (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","South West (England)","100","100","42110","41110"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East of England","70","70","35370","34800"
"In post","2021","Commercial","Unknown","London","180","170","48250","40650"
"In post","2021","Commercial","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","North West (England)","170","160","33550","34630"
"In post","2021","Commercial","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Scotland","120","110","32910","28410"
"In post","2021","Commercial","Unknown","South East (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","South West (England)","200","190","40500","38240"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Wales","60","60","32790","29720"
"In post","2021","Commercial","Unknown","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Yorkshire and The Humber","90","90","38450","36820"
"In post","2021","Communications","Declared disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","London","100","100","43530","39600"
"In post","2021","Communications","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","East Midlands (England)","60","60","38370","37860"
"In post","2021","Communications","Declared non-disabled","East of England","60","60","34880","32640"
"In post","2021","Communications","Declared non-disabled","London","1270","1240","47270","43210"
"In post","2021","Communications","Declared non-disabled","North East (England)","80","70","34440","31810"
"In post","2021","Communications","Declared non-disabled","North West (England)","140","130","37560","36430"
"In post","2021","Communications","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Scotland","50","50","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","South East (England)","180","170","33810","33300"
"In post","2021","Communications","Declared non-disabled","South West (England)","240","220","35190","33320"
"In post","2021","Communications","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Wales","270","250","36820","33350"
"In post","2021","Communications","Declared non-disabled","West Midlands (England)","110","110","38540","36230"
"In post","2021","Communications","Declared non-disabled","Yorkshire and The Humber","80","80","40180","37900"
"In post","2021","Communications","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","London","100","100","47530","42800"
"In post","2021","Communications","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","London","620","610","44380","40640"
"In post","2021","Communications","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","North West (England)","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","South East (England)","70","60","31790","29200"
"In post","2021","Communications","Unknown","South West (England)","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","Wales","50","50","37920","36030"
"In post","2021","Communications","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","London","50","50","54550","54110"
"In post","2021","Corporate Finance","Declared non-disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","London","260","250","43600","40000"
"In post","2021","Counter Fraud","Declared non-disabled","North East (England)","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","North West (England)","70","70","37390","39170"
"In post","2021","Counter Fraud","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Scotland","80","70","28970","25310"
"In post","2021","Counter Fraud","Declared non-disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","London","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","London","80","80","46020","40270"
"In post","2021","Counter Fraud","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","East Midlands (England)","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","East of England","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","London","230","230","46710","42850"
"In post","2021","Digital, Data and Technology","Declared disabled","North East (England)","50","50","38150","36950"
"In post","2021","Digital, Data and Technology","Declared disabled","North West (England)","80","70","38530","33690"
"In post","2021","Digital, Data and Technology","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Scotland","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","South East (England)","80","80","35070","33300"
"In post","2021","Digital, Data and Technology","Declared disabled","South West (England)","190","180","36970","34700"
"In post","2021","Digital, Data and Technology","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Wales","110","110","39320","36930"
"In post","2021","Digital, Data and Technology","Declared disabled","West Midlands (England)","80","80","38220","35000"
"In post","2021","Digital, Data and Technology","Declared disabled","Yorkshire and The Humber","90","80","36800","32300"
"In post","2021","Digital, Data and Technology","Declared non-disabled","East Midlands (England)","150","150","37910","35730"
"In post","2021","Digital, Data and Technology","Declared non-disabled","East of England","300","290","37000","34810"
"In post","2021","Digital, Data and Technology","Declared non-disabled","London","2090","2050","50280","45840"
"In post","2021","Digital, Data and Technology","Declared non-disabled","North East (England)","440","420","39820","38630"
"In post","2021","Digital, Data and Technology","Declared non-disabled","North West (England)","670","650","39560","36780"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Scotland","300","290","39750","36740"
"In post","2021","Digital, Data and Technology","Declared non-disabled","South East (England)","510","490","39490","36400"
"In post","2021","Digital, Data and Technology","Declared non-disabled","South West (England)","1440","1390","40190","38450"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Wales","1280","1250","39950","37410"
"In post","2021","Digital, Data and Technology","Declared non-disabled","West Midlands (England)","580","560","41140","38300"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Yorkshire and The Humber","610","590","40670","37450"
"In post","2021","Digital, Data and Technology","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","East of England","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","London","170","160","48300","44740"
"In post","2021","Digital, Data and Technology","Undeclared","North East (England)","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","North West (England)","50","50","38550","36320"
"In post","2021","Digital, Data and Technology","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","South East (England)","50","50","37100","33300"
"In post","2021","Digital, Data and Technology","Undeclared","South West (England)","120","110","39730","38450"
"In post","2021","Digital, Data and Technology","Undeclared","Wales","120","120","41090","39590"
"In post","2021","Digital, Data and Technology","Undeclared","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","East Midlands (England)","90","80","35360","31830"
"In post","2021","Digital, Data and Technology","Unknown","East of England","130","120","36070","32900"
"In post","2021","Digital, Data and Technology","Unknown","London","810","800","48550","44950"
"In post","2021","Digital, Data and Technology","Unknown","North East (England)","170","160","38060","36520"
"In post","2021","Digital, Data and Technology","Unknown","North West (England)","240","240","39140","36740"
"In post","2021","Digital, Data and Technology","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Scotland","240","240","38150","35230"
"In post","2021","Digital, Data and Technology","Unknown","South East (England)","190","190","37650","33980"
"In post","2021","Digital, Data and Technology","Unknown","South West (England)","410","400","36390","33840"
"In post","2021","Digital, Data and Technology","Unknown","Wales","500","490","38450","36030"
"In post","2021","Digital, Data and Technology","Unknown","West Midlands (England)","200","190","40900","38400"
"In post","2021","Digital, Data and Technology","Unknown","Yorkshire and The Humber","170","170","41380","38390"
"In post","2021","Economics","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","London","80","80","47460","49100"
"In post","2021","Economics","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
