"Status","Year","Age","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","16-19","Operational Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","HM Prison and Probation Service","100","90","22620","22850"
"In post","2021","16-19","Operational Delivery","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","16-19","Operational Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Home Office (incl. agencies)","70","60","21550","21430"
"In post","2021","16-19","Operational Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
