"Status","Year","Region_ITL3","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Female","140","130","26920","26160"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Male","90","90","27540","27150"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Female","240","210","32190","30360"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Male","190","190","34860","31570"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Female","220","200","37760","30650"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Male","220","220","43150","35330"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Female","240","220","32640","27570"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Male","340","330","42900","35110"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Female","70","60","27000","22920"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Male","70","60","44190","34380"
"In post","2021","Aberdeen City and Aberdeenshire","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","Female","120","120","23390","21010"
"In post","2021","Angus and Dundee City","20-29","Male","90","90","22730","21010"
"In post","2021","Angus and Dundee City","30-39","Female","250","230","26290","23340"
"In post","2021","Angus and Dundee City","30-39","Male","180","180","25650","21270"
"In post","2021","Angus and Dundee City","40-49","Female","300","270","27070","24110"
"In post","2021","Angus and Dundee City","40-49","Male","180","180","25910","21440"
"In post","2021","Angus and Dundee City","50-59","Female","350","320","27780","22820"
"In post","2021","Angus and Dundee City","50-59","Male","190","180","27110","21440"
"In post","2021","Angus and Dundee City","60-64","Female","110","90","25560","21440"
