"Status","Year","Region_ITL1","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Nottingham","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Nottingham","80","70","37000","36470"
"In post","2021","East Midlands (England)","Communications","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Leicestershire CC and Rutland","60","60","34160","30560"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Lincolnshire","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Nottingham","170","160","38910","36000"
"In post","2021","East Midlands (England)","Digital, Data and Technology","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Derby","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Lincolnshire","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Nottingham","140","130","37110","32800"
"In post","2021","East Midlands (England)","Finance","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Nottingham","290","270","38830","33840"
"In post","2021","East Midlands (England)","Human Resources","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Nottingham","70","70","64380","64500"
"In post","2021","East Midlands (England)","Intelligence Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Leicestershire CC and Rutland","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Lincolnshire","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Nottingham","[c]","[c]","[c]","[c]"
