"Status","Year","Sexual_orientation","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Angus and Dundee City","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Barking & Dagenham and Havering","110","100","30560","31060"
"In post","2021","Heterosexual / straight","Asian","Barnet","310","290","36260","31880"
"In post","2021","Heterosexual / straight","Asian","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","320","310","35480","33200"
"In post","2021","Heterosexual / straight","Asian","Bedford","70","60","27640","27570"
"In post","2021","Heterosexual / straight","Asian","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Berkshire","240","220","30510","29290"
"In post","2021","Heterosexual / straight","Asian","Bexley and Greenwich","90","80","30910","31060"
"In post","2021","Heterosexual / straight","Asian","Birmingham","1930","1810","27110","25560"
"In post","2021","Heterosexual / straight","Asian","Blackburn with Darwen","100","90","25950","27570"
"In post","2021","Heterosexual / straight","Asian","Blackpool","70","70","29760","27570"
"In post","2021","Heterosexual / straight","Asian","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Bradford","470","430","25750","25560"
"In post","2021","Heterosexual / straight","Asian","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Brent","100","90","30200","31060"
"In post","2021","Heterosexual / straight","Asian","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Bristol, City of","130","120","33860","29220"
"In post","2021","Heterosexual / straight","Asian","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Buckinghamshire CC","80","70","31250","27570"
"In post","2021","Heterosexual / straight","Asian","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Calderdale and Kirklees","120","110","26990","27570"
"In post","2021","Heterosexual / straight","Asian","Cambridgeshire CC","70","70","34030","29000"
"In post","2021","Heterosexual / straight","Asian","Camden and City of London","450","430","32210","29570"
"In post","2021","Heterosexual / straight","Asian","Cardiff and Vale of Glamorgan","210","190","30220","25560"
"In post","2021","Heterosexual / straight","Asian","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Central Hampshire","50","50","32730","29430"
"In post","2021","Heterosexual / straight","Asian","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","City of Edinburgh","110","100","34980","31920"
"In post","2021","Heterosexual / straight","Asian","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Coventry","330","310","33270","29730"
"In post","2021","Heterosexual / straight","Asian","Croydon","1380","1290","34650","29570"
"In post","2021","Heterosexual / straight","Asian","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Derby","80","70","25660","26180"
"In post","2021","Heterosexual / straight","Asian","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Dudley","70","70","24520","21010"
"In post","2021","Heterosexual / straight","Asian","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Durham CC","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Ealing","130","120","31870","31060"
"In post","2021","Heterosexual / straight","Asian","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Kent","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Lancashire","60","50","24890","27570"
"In post","2021","Heterosexual / straight","Asian","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Surrey","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","East Sussex CC","[c]","[c]","[c]","[c]"
