"Status","Year","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Heterosexual / straight","23730","22330","32900","29290"
"In post","2021","Asian","LGBO","580","550","33200","29290"
"In post","2021","Asian","Undeclared","1660","1490","30860","27570"
"In post","2021","Asian","Unknown","3190","2820","31610","27570"
"In post","2021","Black","Heterosexual / straight","12950","12490","32830","30720"
"In post","2021","Black","LGBO","330","320","33960","30250"
"In post","2021","Black","Undeclared","780","730","32130","29650"
"In post","2021","Black","Unknown","1540","1420","32290","31060"
"In post","2021","Chinese","Heterosexual / straight","940","900","36470","31870"
"In post","2021","Chinese","LGBO","70","70","35870","30930"
"In post","2021","Chinese","Undeclared","100","100","37430","35000"
"In post","2021","Chinese","Unknown","140","130","39040","33310"
"In post","2021","Mixed","Heterosexual / straight","6390","6100","35210","31060"
"In post","2021","Mixed","LGBO","690","670","35630","31060"
"In post","2021","Mixed","Undeclared","580","540","34510","30650"
"In post","2021","Mixed","Unknown","610","560","35500","31650"
"In post","2021","Other ethnicity","Heterosexual / straight","1820","1740","36090","31060"
"In post","2021","Other ethnicity","LGBO","170","170","36730","31810"
"In post","2021","Other ethnicity","Undeclared","310","290","42180","35980"
"In post","2021","Other ethnicity","Unknown","290","260","36440","31650"
"In post","2021","Undeclared","Heterosexual / straight","2880","2710","32960","29200"
"In post","2021","Undeclared","LGBO","290","280","33690","29350"
"In post","2021","Undeclared","Undeclared","13230","12480","35460","31810"
"In post","2021","Undeclared","Unknown","4150","3700","32700","28130"
"In post","2021","Unknown","Heterosexual / straight","3260","3010","33440","28620"
"In post","2021","Unknown","LGBO","230","220","36690","31060"
"In post","2021","Unknown","Undeclared","3060","2810","30600","28130"
"In post","2021","Unknown","Unknown","60530","57700","32800","28000"
"In post","2021","White","Heterosexual / straight","265020","247500","34170","29290"
"In post","2021","White","LGBO","16460","16010","34370","29670"
"In post","2021","White","Undeclared","23960","21870","33210","28130"
"In post","2021","White","Unknown","34950","30880","32420","27570"
"In post","2022","Asian","Heterosexual / straight","27940","26420","33700","30110"
"In post","2022","Asian","LGBO","720","680","34340","30240"
"In post","2022","Asian","Undeclared","1860","1700","32100","28710"
"In post","2022","Asian","Unknown","3120","2780","32650","27570"
"In post","2022","Black","Heterosexual / straight","14530","14010","33430","31060"
"In post","2022","Black","LGBO","350","340","34800","31060"
"In post","2022","Black","Undeclared","810","760","32710","30460"
"In post","2022","Black","Unknown","1390","1290","32810","31060"
"In post","2022","Mixed","Heterosexual / straight","7130","6820","35780","31180"
"In post","2022","Mixed","LGBO","810","790","35910","31840"
"In post","2022","Mixed","Undeclared","650","610","35190","31060"
"In post","2022","Mixed","Unknown","580","530","35720","31000"
"In post","2022","Other ethnicity","Heterosexual / straight","1920","1840","35920","31230"
"In post","2022","Other ethnicity","LGBO","210","200","39330","33400"
"In post","2022","Other ethnicity","Undeclared","280","260","40790","33840"
"In post","2022","Other ethnicity","Unknown","250","220","36970","31650"
"In post","2022","Undeclared","Heterosexual / straight","3060","2880","33630","30110"
"In post","2022","Undeclared","LGBO","300","280","34040","30820"
"In post","2022","Undeclared","Undeclared","13070","12320","36290","32770"
"In post","2022","Undeclared","Unknown","3770","3360","33610","29290"
"In post","2022","Unknown","Heterosexual / straight","3360","3120","34530","30350"
"In post","2022","Unknown","LGBO","250","240","36840","31940"
"In post","2022","Unknown","Undeclared","2590","2460","41220","36820"
"In post","2022","Unknown","Unknown","66300","63180","33170","28200"
"In post","2022","White","Heterosexual / straight","281300","263340","34900","30360"
"In post","2022","White","LGBO","19400","18890","34840","30450"
"In post","2022","White","Undeclared","23990","22010","33910","29250"
"In post","2022","White","Unknown","30140","26750","33370","28030"
"Leaver CS","2021","Asian","Heterosexual / straight","760","710","30370","26980"
"Leaver CS","2021","Asian","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","70","60","35670","27570"
"Leaver CS","2021","Asian","Unknown","340","270","31960","25620"
"Leaver CS","2021","Black","Heterosexual / straight","450","430","31770","27310"
"Leaver CS","2021","Black","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","110","90","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","250","240","31570","27570"
"Leaver CS","2021","Mixed","LGBO","40","40","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","70","60","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","80","70","36120","30570"
"Leaver CS","2021","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","100","90","32370","27570"
"Leaver CS","2021","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","500","450","35000","32080"
"Leaver CS","2021","Undeclared","Unknown","720","610","28830","25460"
"Leaver CS","2021","Unknown","Heterosexual / straight","200","180","36070","27570"
"Leaver CS","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","190","170","31190","25750"
"Leaver CS","2021","Unknown","Unknown","6160","5570","32230","27570"
"Leaver CS","2021","White","Heterosexual / straight","10540","9390","33010","27570"
"Leaver CS","2021","White","LGBO","650","610","32590","27490"
"Leaver CS","2021","White","Undeclared","1140","970","32820","27460"
"Leaver CS","2021","White","Unknown","5250","4230","32600","27380"
"Leaver CS","2022","Asian","Heterosexual / straight","1770","1640","32990","28590"
"Leaver CS","2022","Asian","LGBO","70","60","35450","27680"
"Leaver CS","2022","Asian","Undeclared","120","100","32570","27570"
"Leaver CS","2022","Asian","Unknown","450","380","37100","30190"
"Leaver CS","2022","Black","Heterosexual / straight","1170","1110","32240","30340"
"Leaver CS","2022","Black","LGBO","50","50","[c]","[c]"
"Leaver CS","2022","Black","Undeclared","80","70","34140","28230"
"Leaver CS","2022","Black","Unknown","160","140","35200","31880"
"Leaver CS","2022","Mixed","Heterosexual / straight","650","610","32270","27570"
"Leaver CS","2022","Mixed","LGBO","90","90","31180","27570"
"Leaver CS","2022","Mixed","Undeclared","60","50","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","90","80","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Heterosexual / straight","170","160","34530","31060"
"Leaver CS","2022","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Undeclared","50","40","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Heterosexual / straight","230","200","32880","27930"
"Leaver CS","2022","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","940","840","34770","31060"
"Leaver CS","2022","Undeclared","Unknown","600","510","33310","27570"
"Leaver CS","2022","Unknown","Heterosexual / straight","260","220","37040","30790"
"Leaver CS","2022","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","540","140","38940","36130"
"Leaver CS","2022","Unknown","Unknown","8470","7870","32010","27570"
"Leaver CS","2022","White","Heterosexual / straight","19880","17850","33340","27570"
"Leaver CS","2022","White","LGBO","1600","1520","31890","27570"
