"Status","Year","Parent_department","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Female","4480","4060","39710","33310"
"In post","2021","Attorney General's Departments","Crown Prosecution Service","Male","2260","2210","44650","48080"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Government Legal Department","Female","1640","1480","54340","52040"
"In post","2021","Attorney General's Departments","Government Legal Department","Male","890","870","54980","52730"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Female","220","210","45630","40170"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Male","270","270","46720","41200"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Female","5040","4890","44370","35590"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Male","4420","4380","49300","40600"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Female","80","70","60570","62730"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Male","130","120","68570","57250"
"In post","2021","Chancellor's other departments","National Savings and Investments","Female","100","100","47700","43760"
"In post","2021","Chancellor's other departments","National Savings and Investments","Male","100","100","55380","48960"
"In post","2021","Charity Commission","Charity Commission","Female","250","230","34360","29160"
"In post","2021","Charity Commission","Charity Commission","Male","190","180","35510","29550"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Female","430","410","58550","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Male","410","400","62650","59140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Female","620","570","32080","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Male","440","420","34540","31040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Female","610","530","29120","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Male","490","490","32800","30660"
