"Status","Year","Disability","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","170","150","22520","21950"
"In post","2021","Declared disabled","Attorney General's Departments","EO","180","160","28360","28430"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","430","400","59530","56800"
"In post","2021","Declared disabled","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","130","120","36470","35020"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","AA/AO","80","70","22090","20920"
"In post","2021","Declared disabled","Cabinet Office","EO","120","110","27190","27500"
"In post","2021","Declared disabled","Cabinet Office","G6/G7","240","230","58140","56340"
"In post","2021","Declared disabled","Cabinet Office","SCS","50","40","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SEO/HEO","230","230","36210","35590"
"In post","2021","Declared disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","130","110","21630","20880"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","170","160","26810","26380"
