"Status","Year","Region_ITL3","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Legal","80","70","31810","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Female","No function","310","290","33790","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Unknown","490","440","31780","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Legal","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","No function","360","350","46910","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Property","70","70","30990","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Security","80","80","41160","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Unknown","380","360","35380","30650"
"In post","2021","Angus and Dundee City","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Legal","80","70","31800","29350"
"In post","2021","Angus and Dundee City","Female","No function","190","170","24390","21440"
"In post","2021","Angus and Dundee City","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Unknown","880","790","26510","23340"
"In post","2021","Angus and Dundee City","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","No function","170","160","22940","20140"
"In post","2021","Angus and Dundee City","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Unknown","540","530","25940","21150"
"In post","2021","Antrim and Newtownabbey","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Security","70","70","21120","20310"
"In post","2021","Antrim and Newtownabbey","Male","Unknown","50","50","23510","20540"
"In post","2021","Ards and North Down","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","No function","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Security","90","90","20850","20310"
"In post","2021","Ards and North Down","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","No function","100","90","27440","24080"
"In post","2021","Barking & Dagenham and Havering","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Unknown","290","250","30770","31060"
"In post","2021","Barking & Dagenham and Havering","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","No function","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Unknown","180","170","31310","31060"
"In post","2021","Barnet","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","No function","750","700","40270","33340"
"In post","2021","Barnet","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Unknown","260","230","32050","31060"
"In post","2021","Barnet","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Barnet","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","No function","340","330","43870","40070"
"In post","2021","Barnet","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Male","Unknown","200","200","39040","35060"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","No function","730","670","26950","24440"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Female","Unknown","1050","850","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","No function","730","690","29420","27150"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Security","60","60","41080","41430"
"In post","2021","Barnsley, Doncaster and Rotherham","Male","Unknown","350","340","25310","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Analysis","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Commercial","270","250","41130","34800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Communications","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Digital, Data & Technology","50","50","32280","29000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Finance","380","350","37810","33520"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Human Resources","440","400","33890","30090"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Legal","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","No function","590","540","30060","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Project Delivery","2730","2560","35460","33190"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Property","120","120","36790","35170"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","Unknown","630","570","30210","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Commercial","370","360","46170","41500"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Communications","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","Digital, Data & Technology","100","100","39780","39510"
