"Status","Year","Sex","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","80","60","30300","29190"
"In post","2021","Female","Accountant in Bankruptcy","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Birmingham","60","50","30520","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","60","50","30560","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Glasgow City","50","50","28900","28660"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Leeds","40","40","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Manchester","80","70","29720","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Nottingham","60","60","29660","30950"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Tyneside","90","80","29580","26380"
"In post","2021","Female","Advisory, Conciliation and Arbitration Service","Westminster","110","110","40100","38670"
"In post","2021","Female","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","50","50","25340","21050"
"In post","2021","Female","Animal and Plant Health Agency","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Cornwall and Isles of Scilly","30","30","[c]","[c]"
"In post","2021","Female","Animal and Plant Health Agency","Devon CC","130","120","26050","21050"
"In post","2021","Female","Animal and Plant Health Agency","Dorset CC","[c]","[c]","[c]","[c]"
