"Status","Year","Responsibility_level","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Female","710","640","23310","22080"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Male","550","540","25850","24670"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Female","1630","1490","23520","21900"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Male","1960","1930","27270","26580"
"In post","2021","AA/AO","Cheshire","Female","700","620","22380","21010"
"In post","2021","AA/AO","Cheshire","Male","510","490","24210","22030"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Female","410","340","20780","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Male","310","300","20970","21010"
"In post","2021","AA/AO","Cumbria","Female","560","470","21310","21050"
"In post","2021","AA/AO","Cumbria","Male","370","350","22920","21050"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Female","2110","1830","21370","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Male","1690","1610","23010","21010"
"In post","2021","AA/AO","Devon","Female","1630","1370","21320","21010"
"In post","2021","AA/AO","Devon","Male","1460","1390","23500","21050"
"In post","2021","AA/AO","Dorset and Somerset","Female","820","730","21540","21010"
"In post","2021","AA/AO","Dorset and Somerset","Male","900","880","23240","21130"
"In post","2021","AA/AO","East Anglia","Female","2500","2190","21970","21130"
"In post","2021","AA/AO","East Anglia","Male","2460","2360","24790","22500"
"In post","2021","AA/AO","East Wales","Female","3210","2770","21110","21010"
"In post","2021","AA/AO","East Wales","Male","2520","2420","21820","21010"
"In post","2021","AA/AO","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Female","1040","890","22190","21010"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Male","1090","1040","25570","24920"
"In post","2021","AA/AO","Eastern Scotland","Female","3540","3150","21760","21010"
"In post","2021","AA/AO","Eastern Scotland","Male","2710","2630","22360","21010"
"In post","2021","AA/AO","Essex","Female","960","830","22710","21580"
"In post","2021","AA/AO","Essex","Male","650","630","25190","23270"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Female","2220","1980","21460","21010"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Male","1660","1610","23050","21010"
"In post","2021","AA/AO","Greater Manchester","Female","3310","2860","20880","20920"
"In post","2021","AA/AO","Greater Manchester","Male","2400","2300","21850","21010"
"In post","2021","AA/AO","Hampshire and Isle of Wight","Female","2420","1980","21060","20920"
"In post","2021","AA/AO","Hampshire and Isle of Wight","Male","2240","2010","23220","20920"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","Female","950","840","21730","21010"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","Male","870","850","24710","22850"
"In post","2021","AA/AO","Highlands and Islands","Female","440","390","21840","21050"
"In post","2021","AA/AO","Highlands and Islands","Male","400","390","22890","21450"
"In post","2021","AA/AO","Inner London - East","Female","1540","1370","24900","24630"
"In post","2021","AA/AO","Inner London - East","Male","1180","1130","27240","25110"
"In post","2021","AA/AO","Inner London - West","Female","2390","2210","24950","24370"
"In post","2021","AA/AO","Inner London - West","Male","2110","2060","26250","24590"
"In post","2021","AA/AO","Kent","Female","1490","1350","23590","22850"
"In post","2021","AA/AO","Kent","Male","1490","1460","26500","26420"
"In post","2021","AA/AO","Lancashire","Female","3440","2910","21270","21010"
"In post","2021","AA/AO","Lancashire","Male","2660","2510","22640","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","Female","1690","1440","21130","20920"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","Male","1220","1180","23050","21440"
"In post","2021","AA/AO","Lincolnshire","Female","680","610","21340","21010"
"In post","2021","AA/AO","Lincolnshire","Male","610","590","23250","21360"
"In post","2021","AA/AO","Merseyside","Female","4430","3680","20930","21010"
"In post","2021","AA/AO","Merseyside","Male","2740","2600","21390","21400"
"In post","2021","AA/AO","North Eastern Scotland","Female","290","260","22740","22160"
"In post","2021","AA/AO","North Eastern Scotland","Male","260","250","28160","25870"
"In post","2021","AA/AO","North Yorkshire","Female","680","610","21470","21010"
"In post","2021","AA/AO","North Yorkshire","Male","710","690","23400","20920"
"In post","2021","AA/AO","Northern Ireland","Female","700","610","20930","21400"
"In post","2021","AA/AO","Northern Ireland","Male","990","950","20660","20310"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","Female","5800","4580","20740","21010"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","Male","3200","3000","20660","21010"
"In post","2021","AA/AO","Outer London - East and North East","Female","810","720","25180","24890"
"In post","2021","AA/AO","Outer London - East and North East","Male","620","600","28450","28720"
"In post","2021","AA/AO","Outer London - South","Female","1280","1120","24260","25230"
"In post","2021","AA/AO","Outer London - South","Male","730","710","24110","25110"
"In post","2021","AA/AO","Outer London - West and North West","Female","1170","1030","24910","25110"
"In post","2021","AA/AO","Outer London - West and North West","Male","890","860","26510","25630"
"In post","2021","AA/AO","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Shropshire and Staffordshire","Female","1760","1560","21600","21010"
"In post","2021","AA/AO","Shropshire and Staffordshire","Male","1490","1430","23910","22350"
"In post","2021","AA/AO","South Yorkshire","Female","1770","1470","21280","21010"
"In post","2021","AA/AO","South Yorkshire","Male","1320","1260","22980","21430"
"In post","2021","AA/AO","Southern Scotland","Female","1380","1130","21220","21010"
"In post","2021","AA/AO","Southern Scotland","Male","850","800","21730","20140"
"In post","2021","AA/AO","Surrey, East and West Sussex","Female","1580","1370","23340","21430"
"In post","2021","AA/AO","Surrey, East and West Sussex","Male","1350","1290","25600","24220"
"In post","2021","AA/AO","Tees Valley and Durham","Female","2600","2200","21900","21010"
"In post","2021","AA/AO","Tees Valley and Durham","Male","2080","1950","24250","21950"
"In post","2021","AA/AO","Unknown","Female","160","140","22450","21010"
"In post","2021","AA/AO","Unknown","Male","90","80","21840","21010"
"In post","2021","AA/AO","West Central Scotland","Female","3810","3210","21250","21010"
"In post","2021","AA/AO","West Central Scotland","Male","3180","3040","23200","21010"
"In post","2021","AA/AO","West Midlands","Female","3280","2780","20730","20650"
"In post","2021","AA/AO","West Midlands","Male","2000","1910","21210","20640"
"In post","2021","AA/AO","West Wales and The Valleys","Female","4710","3870","20870","21590"
"In post","2021","AA/AO","West Wales and The Valleys","Male","2490","2360","21490","21590"
"In post","2021","AA/AO","West Yorkshire","Female","2760","2340","21480","21010"
"In post","2021","AA/AO","West Yorkshire","Male","2310","2200","22640","21010"
