"Status","Year","Responsibility_level","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Analysis","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2021","AA/AO","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","United Kingdom Statistics Authority","60","60","19490","19130"
"In post","2021","AA/AO","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","HM Prison and Probation Service","60","50","23120","23240"
"In post","2021","AA/AO","Commercial","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Ministry of Defence (excl. agencies)","230","220","21670","21130"
"In post","2021","AA/AO","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Scottish Prison Service","50","50","23640","25870"
"In post","2021","AA/AO","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Revenue and Customs (excl. agencies)","260","220","20790","20660"
"In post","2021","AA/AO","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Ministry of Defence (excl. agencies)","100","90","21360","21030"
"In post","2021","AA/AO","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
