"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Ministry of Defence (excl. agencies)","1360","1290","22430","20920"
"In post","2021","Declared disabled","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Office of the Public Guardian","110","100","19750","19930"
"In post","2021","Declared disabled","AA/AO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Public Health England","80","70","21020","20140"
"In post","2021","Declared disabled","AA/AO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Registers of Scotland","50","50","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Rural Payments Agency","90","70","21050","21050"
"In post","2021","Declared disabled","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Scottish Government (excl. agencies)","90","80","23190","22230"
"In post","2021","Declared disabled","AA/AO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Scottish Prison Service","90","80","25550","25870"
"In post","2021","Declared disabled","AA/AO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Social Security Scotland","60","60","21010","20060"
"In post","2021","Declared disabled","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","United Kingdom Statistics Authority","150","100","19430","19520"
"In post","2021","Declared disabled","AA/AO","Valuation Office Agency","70","70","21140","21100"
"In post","2021","Declared disabled","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
