"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","SEO/HEO","HM Courts and Tribunals Service","290","290","34940","34260"
"In post","2022","Unknown","SEO/HEO","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","HM Land Registry","180","180","38480","38550"
"In post","2022","Unknown","SEO/HEO","HM Prison and Probation Service","270","240","35870","34000"
"In post","2022","Unknown","SEO/HEO","HM Revenue and Customs (excl. agencies)","5400","5220","36070","33370"
"In post","2022","Unknown","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Home Office","1200","1190","37290","36590"
"In post","2022","Unknown","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Intellectual Property Office","140","140","40090","41440"
"In post","2022","Unknown","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Maritime and Coastguard Agency","70","70","37740","35730"
"In post","2022","Unknown","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","260","260","37690","40450"
"In post","2022","Unknown","SEO/HEO","Ministry of Defence (excl. agencies)","1630","1580","39330","40000"
"In post","2022","Unknown","SEO/HEO","Ministry of Justice (excl. agencies)","490","480","37580","36050"
"In post","2022","Unknown","SEO/HEO","National Crime Agency","1390","1360","43900","43710"
"In post","2022","Unknown","SEO/HEO","National Records of Scotland","70","60","39180","39660"
"In post","2022","Unknown","SEO/HEO","Northern Ireland Office","30","30","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Office for Standards in Education, Children's Services and Skills","80","70","45040","51360"
"In post","2022","Unknown","SEO/HEO","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Registers of Scotland","110","110","40030","37710"
"In post","2022","Unknown","SEO/HEO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Scottish Courts and Tribunals Service","230","220","38390","36360"
"In post","2022","Unknown","SEO/HEO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Scottish Government (excl. agencies)","1340","1290","39680","39660"
"In post","2022","Unknown","SEO/HEO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Scottish Prison Service","580","510","41610","40290"
"In post","2022","Unknown","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Serious Fraud Office","40","40","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Social Security Scotland","180","180","36360","33070"
"In post","2022","Unknown","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","The Insolvency Service","150","140","34800","34050"
"In post","2022","Unknown","SEO/HEO","The National Archives","80","80","36380","34770"
"In post","2022","Unknown","SEO/HEO","Transport Scotland","110","110","41730","40810"
"In post","2022","Unknown","SEO/HEO","UK Debt Management Office","50","40","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","UK Health Security Agency","990","940","37060","36820"
"In post","2022","Unknown","SEO/HEO","UK Hydrographic Office","130","120","38250","33590"
"In post","2022","Unknown","SEO/HEO","UK Space Agency","50","50","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","UK Statistics Authority","950","930","34190","33710"
"In post","2022","Unknown","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Valuation Office Agency","230","230","37210","35780"
"In post","2022","Unknown","SEO/HEO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Welsh Government (excl. agencies)","120","110","38940","38160"
"In post","2022","Unknown","SEO/HEO","Welsh Revenue Authority","30","30","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","HM Prison and Probation Service","3400","3060","27660","25760"
"In post","2022","Unknown","Unknown","Home Office","210","210","[c]","[c]"
"In post","2022","Unknown","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Unknown","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Royal Fleet Auxiliary","1760","1760","37450","34160"
"In post","2022","Unknown","Unknown","Submarine Delivery Agency","230","220","40560","37900"
"Leaver CS","2021","Declared disabled","AA/AO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Department for Work and Pensions (excl. agencies)","270","220","21030","21010"
"Leaver CS","2021","Declared disabled","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Driver and Vehicle Licensing Agency","50","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","HM Courts and Tribunals Service","140","110","19500","19570"
"Leaver CS","2021","Declared disabled","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","HM Prison and Probation Service","210","190","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","HM Revenue and Customs (excl. agencies)","280","220","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Home Office (incl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Ministry of Defence (excl. agencies)","130","120","22820","20920"
"Leaver CS","2021","Declared disabled","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Department for Work and Pensions (excl. agencies)","320","260","27990","27570"
"Leaver CS","2021","Declared disabled","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","HM Prison and Probation Service","40","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","HM Revenue and Customs (excl. agencies)","160","130","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Home Office (incl. agencies)","60","50","26720","27240"
"Leaver CS","2021","Declared disabled","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Ministry of Defence (excl. agencies)","60","60","29150","26930"
"Leaver CS","2021","Declared disabled","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
