"Status","Year","Region_ITL1","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Declared disabled","Derby","150","130","24950","21010"
"In post","2021","East Midlands (England)","Declared disabled","East Derbyshire","100","90","26580","27570"
"In post","2021","East Midlands (England)","Declared disabled","Leicester","300","270","25450","22350"
"In post","2021","East Midlands (England)","Declared disabled","Leicestershire CC and Rutland","200","180","28540","26850"
"In post","2021","East Midlands (England)","Declared disabled","Lincolnshire","390","360","28200","27570"
"In post","2021","East Midlands (England)","Declared disabled","North Northamptonshire","90","80","25410","27570"
"In post","2021","East Midlands (England)","Declared disabled","North Nottinghamshire","140","130","28400","27570"
"In post","2021","East Midlands (England)","Declared disabled","Nottingham","910","840","30340","27570"
"In post","2021","East Midlands (England)","Declared disabled","South and West Derbyshire","150","130","31600","27570"
"In post","2021","East Midlands (England)","Declared disabled","South Nottinghamshire","110","100","30910","27570"
"In post","2021","East Midlands (England)","Declared disabled","West Northamptonshire","140","130","25290","22920"
"In post","2021","East Midlands (England)","Declared non-disabled","Derby","740","650","26750","23840"
"In post","2021","East Midlands (England)","Declared non-disabled","East Derbyshire","290","240","27060","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","Leicester","1750","1570","27460","27130"
"In post","2021","East Midlands (England)","Declared non-disabled","Leicestershire CC and Rutland","1380","1290","29250","26810"
"In post","2021","East Midlands (England)","Declared non-disabled","Lincolnshire","1970","1860","28080","26750"
"In post","2021","East Midlands (England)","Declared non-disabled","North Northamptonshire","350","310","25790","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","North Nottinghamshire","660","620","29540","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","Nottingham","4970","4630","32880","28130"
"In post","2021","East Midlands (England)","Declared non-disabled","South and West Derbyshire","850","770","33350","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","South Nottinghamshire","550","510","30780","27570"
"In post","2021","East Midlands (England)","Declared non-disabled","West Northamptonshire","760","690","27220","25130"
"In post","2021","East Midlands (England)","Undeclared","Derby","60","50","26200","21630"
"In post","2021","East Midlands (England)","Undeclared","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Leicester","150","130","27170","27570"
"In post","2021","East Midlands (England)","Undeclared","Leicestershire CC and Rutland","190","180","29540","31180"
"In post","2021","East Midlands (England)","Undeclared","Lincolnshire","260","240","29010","27570"
"In post","2021","East Midlands (England)","Undeclared","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","North Nottinghamshire","100","90","29570","29870"
"In post","2021","East Midlands (England)","Undeclared","Nottingham","430","390","31090","29720"
"In post","2021","East Midlands (England)","Undeclared","South and West Derbyshire","130","120","32540","31650"
"In post","2021","East Midlands (England)","Undeclared","South Nottinghamshire","70","60","30220","28220"
"In post","2021","East Midlands (England)","Undeclared","West Northamptonshire","80","80","26200","25360"
"In post","2021","East Midlands (England)","Unknown","Derby","70","70","26640","25680"
"In post","2021","East Midlands (England)","Unknown","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Leicester","420","380","25260","22350"
"In post","2021","East Midlands (England)","Unknown","Leicestershire CC and Rutland","250","240","28350","25300"
"In post","2021","East Midlands (England)","Unknown","Lincolnshire","210","200","27190","23150"
"In post","2021","East Midlands (England)","Unknown","North Northamptonshire","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","North Nottinghamshire","90","90","24440","24440"
"In post","2021","East Midlands (England)","Unknown","Nottingham","1650","1580","29430","25560"
"In post","2021","East Midlands (England)","Unknown","South and West Derbyshire","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","South Nottinghamshire","60","50","27300","25210"
"In post","2021","East Midlands (England)","Unknown","West Northamptonshire","120","120","23320","21310"
"In post","2021","East of England","Declared disabled","Bedford","110","100","30210","28200"
"In post","2021","East of England","Declared disabled","Breckland and South Norfolk","50","50","27970","27570"
"In post","2021","East of England","Declared disabled","Cambridgeshire CC","350","330","32890","31220"
"In post","2021","East of England","Declared disabled","Central Bedfordshire","40","40","[c]","[c]"
"In post","2021","East of England","Declared disabled","Essex Haven Gateway","140","130","32570","29290"
"In post","2021","East of England","Declared disabled","Essex Thames Gateway","180","160","27370","29050"
"In post","2021","East of England","Declared disabled","Heart of Essex","120","110","31730","29290"
"In post","2021","East of England","Declared disabled","Hertfordshire","280","260","32730","30000"
"In post","2021","East of England","Declared disabled","Luton","80","70","26210","27370"
"In post","2021","East of England","Declared disabled","North and West Norfolk","110","100","28630","27570"
"In post","2021","East of England","Declared disabled","Norwich and East Norfolk","230","200","28290","27570"
"In post","2021","East of England","Declared disabled","Peterborough","210","190","27580","25310"
"In post","2021","East of England","Declared disabled","Southend-on-Sea","170","160","30820","29290"
"In post","2021","East of England","Declared disabled","Suffolk","410","380","27970","27570"
"In post","2021","East of England","Declared disabled","Thurrock","30","30","[c]","[c]"
