"Status","Year","Parent_department","Region_ITL3","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","140","130","43310","40000"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","West Midlands","490","460","39820","38000"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Surrey, East and West Sussex","110","100","42660","36240"
"In post","2021","Attorney General's Departments","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","150","150","41650","38180"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","East Wales","210","200","41090","38760"
"In post","2021","Attorney General's Departments","Central Valleys","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Outer London - South","90","80","39280","31670"
"In post","2021","Attorney General's Departments","Derby","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Devon","100","90","39950","36240"
"In post","2021","Attorney General's Departments","East Cumbria","Cumbria","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","Kent","120","120","39460","30110"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","East Wales","70","70","41500","38000"
"In post","2021","Attorney General's Departments","Haringey and Islington","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","Essex","190","170","41150","35020"
"In post","2021","Attorney General's Departments","Hertfordshire","Bedfordshire and Hertfordshire","170","150","42490","40000"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","East Yorkshire and Northern Lincolnshire","70","70","38580","28430"
"In post","2021","Attorney General's Departments","Leeds","West Yorkshire","380","350","41940","38760"
"In post","2021","Attorney General's Departments","Leicester","Leicestershire, Rutland and Northamptonshire","140","130","39010","38180"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Merseyside","360","350","37570","30930"
"In post","2021","Attorney General's Departments","Manchester","Greater Manchester","370","340","41260","38000"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Kent","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Lancashire","Lancashire","180","170","40040","38000"
"In post","2021","Attorney General's Departments","Northumberland","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","East Anglia","80","70","35640","28430"
"In post","2021","Attorney General's Departments","Nottingham","Derbyshire and Nottinghamshire","270","250","37300","30130"
"In post","2021","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Peterborough","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","Hampshire and Isle of Wight","110","100","38780","30110"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Sheffield","South Yorkshire","140","120","35940","28430"
"In post","2021","Attorney General's Departments","Shropshire CC","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Hampshire","Hampshire and Isle of Wight","150","140","45830","50520"
"In post","2021","Attorney General's Departments","South Teesside","Tees Valley and Durham","100","90","38060","32370"
"In post","2021","Attorney General's Departments","Staffordshire CC","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Stoke-on-Trent","Shropshire and Staffordshire","60","60","41930","48080"
"In post","2021","Attorney General's Departments","Suffolk","East Anglia","30","30","[c]","[c]"
