"Status","Year","Sexual_orientation","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Berkshire","90","90","42390","38120"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Birmingham","340","320","38910","38000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Brighton and Hove","70","70","44500","40000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Bristol, City of","100","90","39580","33310"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Cardiff and Vale of Glamorgan","160","150","41350","40420"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Croydon","60","50","40180","34460"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Devon CC","80","80","39080","34480"
"In post","2021","Heterosexual / straight","Attorney General's Departments","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","East Kent","80","80","37650","30110"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Flintshire and Wrexham","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Heart of Essex","140","130","40910","35630"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Hertfordshire","130","120","41700","40000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Kingston upon Hull, City of","50","50","38910","31720"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Leeds","250","230","43060","48080"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Leicester","100","90","39610","38760"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Liverpool","260","250","36940","30720"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Manchester","290","260","40710","38000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Mid Lancashire","120","110","39160","38000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Norwich and East Norfolk","50","50","35650","28430"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Nottingham","190","180","36800","28430"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Portsmouth","80","80","38400","30110"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Sheffield","80","80","34710","28430"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","South Hampshire","110","110","44770","42460"
"In post","2021","Heterosexual / straight","Attorney General's Departments","South Teesside","70","60","37080","28430"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Stoke-on-Trent","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Swansea","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Tyneside","170","160","38570","34480"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Wakefield","60","60","33550","28430"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","West Surrey","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Westminster","3000","2840","49640","51250"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","York","220","210","45080","50850"
"In post","2021","Heterosexual / straight","Cabinet Office","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Bristol, City of","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Camden and City of London","60","60","57860","54700"
"In post","2021","Heterosexual / straight","Cabinet Office","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Greater Manchester South West","80","80","41440","37300"
"In post","2021","Heterosexual / straight","Cabinet Office","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Leeds","70","70","44660","39210"
"In post","2021","Heterosexual / straight","Cabinet Office","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Liverpool","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Manchester","[c]","[c]","[c]","[c]"
