"Status","Year","Region_ITL2","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cumbria","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","AA/AO","210","200","21740","21050"
"In post","2021","Cumbria","Unknown","EO","60","60","26120","25100"
"In post","2021","Cumbria","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","White","AA/AO","690","600","22030","21050"
"In post","2021","Cumbria","White","EO","490","440","26100","26520"
"In post","2021","Cumbria","White","G6/G7","60","60","53740","52350"
"In post","2021","Cumbria","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","White","SEO/HEO","260","240","34610","33430"
"In post","2021","Cumbria","White","Unknown","200","190","37750","34340"
"In post","2021","Derbyshire and Nottinghamshire","Asian","AA/AO","180","160","21040","21010"
"In post","2021","Derbyshire and Nottinghamshire","Asian","EO","190","170","26370","26700"
"In post","2021","Derbyshire and Nottinghamshire","Asian","G6/G7","50","50","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Asian","SEO/HEO","200","190","33650","31810"
"In post","2021","Derbyshire and Nottinghamshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Black","AA/AO","120","110","21460","21010"
"In post","2021","Derbyshire and Nottinghamshire","Black","EO","110","100","26570","27570"
"In post","2021","Derbyshire and Nottinghamshire","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Black","SEO/HEO","50","50","35270","32950"
"In post","2021","Derbyshire and Nottinghamshire","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","AA/AO","70","60","21940","21010"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","EO","60","60","26010","27230"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","AA/AO","120","110","21340","21010"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","EO","150","130","27010","27570"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","G6/G7","50","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","SEO/HEO","160","160","35440","33840"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","AA/AO","710","660","21560","20140"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","EO","480","460","26100","25560"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","G6/G7","120","120","57240","53550"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","SEO/HEO","430","420","34200","31810"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Unknown","50","50","28440","30210"
"In post","2021","Derbyshire and Nottinghamshire","White","AA/AO","2570","2320","22400","21010"
"In post","2021","Derbyshire and Nottinghamshire","White","EO","2550","2320","26900","27570"
"In post","2021","Derbyshire and Nottinghamshire","White","G6/G7","890","850","57420","53430"
"In post","2021","Derbyshire and Nottinghamshire","White","SCS","60","60","88710","81000"
"In post","2021","Derbyshire and Nottinghamshire","White","SEO/HEO","2320","2190","35930","33840"
"In post","2021","Derbyshire and Nottinghamshire","White","Unknown","370","330","30280","30210"
"In post","2021","Devon","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Mixed","AA/AO","30","30","[c]","[c]"
"In post","2021","Devon","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Undeclared","AA/AO","120","100","22280","21010"
"In post","2021","Devon","Undeclared","EO","120","110","27490","27130"
"In post","2021","Devon","Undeclared","G6/G7","40","40","[c]","[c]"
