"Status","Year","Region_ITL2","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Asian","AA/AO","140","130","23530","22910"
"In post","2021","Bedfordshire and Hertfordshire","Asian","EO","240","220","28550","28550"
"In post","2021","Bedfordshire and Hertfordshire","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Asian","SEO/HEO","110","110","38040","37640"
"In post","2021","Bedfordshire and Hertfordshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","AA/AO","60","50","24580","22980"
"In post","2021","Bedfordshire and Hertfordshire","Black","EO","110","100","28920","29290"
"In post","2021","Bedfordshire and Hertfordshire","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","AA/AO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","EO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","AA/AO","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","EO","80","70","29310","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","SEO/HEO","60","60","38400","37640"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","AA/AO","160","150","24610","22650"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","EO","120","110","29150","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","SEO/HEO","70","60","38520","37640"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","White","AA/AO","810","750","24600","22980"
"In post","2021","Bedfordshire and Hertfordshire","White","EO","1010","920","29130","29290"
"In post","2021","Bedfordshire and Hertfordshire","White","G6/G7","230","220","60580","59730"
"In post","2021","Bedfordshire and Hertfordshire","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","White","SEO/HEO","690","660","38850","37880"
"In post","2021","Bedfordshire and Hertfordshire","White","Unknown","180","170","28940","28200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","AA/AO","200","180","23520","22380"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","EO","230","210","28710","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","G6/G7","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","SEO/HEO","110","110","37580","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","AA/AO","100","100","25500","23430"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","EO","100","100","28440","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","AA/AO","60","60","25180","23520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","EO","50","50","28630","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","AA/AO","150","140","26230","22440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","EO","110","100","30330","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","G6/G7","50","50","58050","55810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","SEO/HEO","140","140","38060","35980"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","AA/AO","550","540","25960","25540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","EO","240","230","29430","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","G6/G7","70","60","59760","54970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","SEO/HEO","200","180","37000","36310"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","50","50","29920","24020"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","AA/AO","2490","2380","25640","23270"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","EO","1660","1580","29330","27910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","G6/G7","580","550","60180","57650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","SCS","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","SEO/HEO","1720","1650","38460","37280"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","Unknown","370","340","30150","30210"
"In post","2021","Cheshire","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","EO","60","60","29530","28840"
"In post","2021","Cheshire","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","AA/AO","160","160","22340","21050"
"In post","2021","Cheshire","Unknown","EO","140","140","29750","28430"
"In post","2021","Cheshire","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","SEO/HEO","80","80","38520","37560"
"In post","2021","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","White","AA/AO","980","890","23350","21010"
"In post","2021","Cheshire","White","EO","1170","1110","29600","27570"
"In post","2021","Cheshire","White","G6/G7","160","160","57830","55740"
"In post","2021","Cheshire","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","White","SEO/HEO","710","680","39570","38540"
"In post","2021","Cheshire","White","Unknown","180","160","29660","30210"
"In post","2021","Cornwall and Isles of Scilly","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","AA/AO","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","AA/AO","80","70","20990","21010"
"In post","2021","Cornwall and Isles of Scilly","Unknown","EO","60","60","26590","27570"
"In post","2021","Cornwall and Isles of Scilly","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","White","AA/AO","580","520","20830","21010"
"In post","2021","Cornwall and Isles of Scilly","White","EO","520","480","27300","27570"
"In post","2021","Cornwall and Isles of Scilly","White","G6/G7","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","White","SEO/HEO","180","170","35620","34290"
"In post","2021","Cornwall and Isles of Scilly","White","Unknown","40","40","[c]","[c]"
"In post","2021","Cumbria","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
