"Status","Year","Sexual_orientation","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","East Midlands (England)","400","390","34280","29730"
"In post","2021","Heterosexual / straight","Department for Transport","East of England","260","240","30580","27680"
"In post","2021","Heterosexual / straight","Department for Transport","London","2180","2130","48430","43670"
"In post","2021","Heterosexual / straight","Department for Transport","North East (England)","210","200","28430","26780"
"In post","2021","Heterosexual / straight","Department for Transport","North West (England)","270","260","29700","26780"
"In post","2021","Heterosexual / straight","Department for Transport","Northern Ireland","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","Scotland","290","270","33070","28550"
"In post","2021","Heterosexual / straight","Department for Transport","South East (England)","970","930","37330","31470"
"In post","2021","Heterosexual / straight","Department for Transport","South West (England)","520","490","33730","29730"
"In post","2021","Heterosexual / straight","Department for Transport","Wales","4220","3820","27230","21590"
"In post","2021","Heterosexual / straight","Department for Transport","West Midlands (England)","270","260","30090","27680"
"In post","2021","Heterosexual / straight","Department for Transport","Yorkshire and The Humber","330","310","30790","26780"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","East Midlands (England)","3160","2830","27440","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","East of England","3140","2860","28720","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","London","6420","6090","34040","31060"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","North East (England)","6440","5750","27490","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","North West (England)","11780","10700","27950","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Scotland","5950","5300","26460","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","South East (England)","4530","4120","27720","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","South West (England)","3780","3330","26640","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Unknown","610","580","30200","27570"
