"Status","Year","Responsibility_level","Ethnicity","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","Bedfordshire and Hertfordshire","140","130","23530","22910"
"In post","2021","AA/AO","Asian","Berkshire, Buckinghamshire and Oxfordshire","200","180","23520","22380"
"In post","2021","AA/AO","Asian","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Derbyshire and Nottinghamshire","180","160","21040","21010"
"In post","2021","AA/AO","Asian","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Anglia","190","150","21440","21430"
"In post","2021","AA/AO","Asian","East Wales","120","100","20650","20140"
"In post","2021","AA/AO","Asian","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Eastern Scotland","60","60","21420","21010"
"In post","2021","AA/AO","Asian","Essex","40","40","[c]","[c]"
"In post","2021","AA/AO","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","100","90","21030","20920"
"In post","2021","AA/AO","Asian","Greater Manchester","400","360","20660","20650"
"In post","2021","AA/AO","Asian","Hampshire and Isle of Wight","120","90","21780","21010"
"In post","2021","AA/AO","Asian","Herefordshire, Worcestershire and Warwickshire","90","80","21570","21010"
"In post","2021","AA/AO","Asian","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Inner London - East","470","410","24610","24590"
"In post","2021","AA/AO","Asian","Inner London - West","660","610","24930","24120"
"In post","2021","AA/AO","Asian","Kent","60","50","24350","22470"
"In post","2021","AA/AO","Asian","Lancashire","540","470","20700","20420"
"In post","2021","AA/AO","Asian","Leicestershire, Rutland and Northamptonshire","540","460","20600","20180"
"In post","2021","AA/AO","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Merseyside","60","50","21070","21430"
"In post","2021","AA/AO","Asian","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","North Yorkshire","[c]","[c]","[c]","[c]"
