"Status","Year","Disability","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North West (England)","40","30","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","South East (England)","90","90","31650","28550"
"In post","2021","Declared disabled","Animal and Plant Health Agency","South West (England)","60","50","26270","21050"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Wales","40","40","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","490","480","48060","43890"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","North East (England)","60","50","28220","23850"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","North West (England)","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Yorkshire and The Humber","60","50","34630","33300"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Wales","70","60","32210","25100"
"In post","2021","Declared disabled","Competition and Markets Authority","London","40","40","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Scotland","40","30","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scotland","100","100","37590","33550"
"In post","2021","Declared disabled","Crown Prosecution Service","East Midlands (England)","60","50","35350","28430"
"In post","2021","Declared disabled","Crown Prosecution Service","East of England","50","40","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","London","170","160","46850","40800"
"In post","2021","Declared disabled","Crown Prosecution Service","North East (England)","50","40","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","North West (England)","110","100","39930","32680"
"In post","2021","Declared disabled","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","South East (England)","60","60","45590","44320"
"In post","2021","Declared disabled","Crown Prosecution Service","South West (England)","30","30","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Wales","40","30","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","West Midlands (England)","50","50","41270","42090"
"In post","2021","Declared disabled","Crown Prosecution Service","Yorkshire and The Humber","100","90","43100","38650"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","East of England","30","30","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Scotland","40","30","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","South East (England)","50","50","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","South West (England)","890","850","36600","33890"
"In post","2021","Declared disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","South East (England)","180","170","38850","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","South West (England)","290","280","37440","37320"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","440","430","47670","41750"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","110","110","47390","40690"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
