"Status","Year","Region_ITL2","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Department for Work and Pensions","210","180","23210","23200"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Ministry of Defence","200","200","21660","20970"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Ministry of Justice","720","680","25630","24670"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Department for Transport","80","80","29060","26780"
"In post","2021","Bedfordshire and Hertfordshire","EO","Department for Work and Pensions","830","760","29200","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Department of Health and Social Care","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Home Office","180","150","27170","26070"
"In post","2021","Bedfordshire and Hertfordshire","EO","Ministry of Defence","160","160","29590","30200"
"In post","2021","Bedfordshire and Hertfordshire","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Ministry of Justice","160","150","28220","26330"
"In post","2021","Bedfordshire and Hertfordshire","EO","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Attorney General's Departments","80","70","59050","61510"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Department of Health and Social Care","110","100","59660","53970"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Ministry of Defence","80","80","63230","59730"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
