"Status","Year","Profession_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","East of England","90","80","34770","34800"
"In post","2021","Commercial","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","North West (England)","190","180","33650","34800"
"In post","2021","Commercial","Crown Commercial Service","Wales","70","60","31160","28540"
"In post","2021","Commercial","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","South West (England)","860","820","39530","35110"
"In post","2021","Commercial","Defence Equipment and Support","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","South East (England)","30","30","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","South West (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","North East (England)","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","North West (England)","60","60","38360","36780"
"In post","2021","Commercial","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Yorkshire and The Humber","50","50","38830","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","London","90","90","51000","54110"
"In post","2021","Commercial","Department for Transport (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","London","110","100","55070","53360"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","80","80","41890","36820"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Wales","160","140","32760","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","North East (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","North West (England)","30","30","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Yorkshire and The Humber","50","50","40120","36780"
"In post","2021","Commercial","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","South East (England)","70","70","43520","40850"
"In post","2021","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","70","70","40370","39630"
"In post","2021","Commercial","Government Internal Audit Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","East Midlands (England)","50","50","46280","47640"
"In post","2021","Commercial","HM Prison and Probation Service","East of England","60","60","47930","46730"
"In post","2021","Commercial","HM Prison and Probation Service","London","240","230","50190","46600"
"In post","2021","Commercial","HM Prison and Probation Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","North West (England)","70","70","50940","48580"
"In post","2021","Commercial","HM Prison and Probation Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","South East (England)","60","60","46430","46550"
"In post","2021","Commercial","HM Prison and Probation Service","South West (England)","40","40","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","West Midlands (England)","60","60","48680","48710"
"In post","2021","Commercial","HM Prison and Probation Service","Yorkshire and The Humber","60","60","47120","47240"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","North West (England)","50","50","38760","38630"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","London","60","60","42660","43180"
"In post","2021","Commercial","Home Office (incl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","South West (England)","180","170","43020","40140"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","East of England","50","50","35640","34710"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","London","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Overseas","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Scotland","90","90","34840","33300"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","South East (England)","220","210","34850","34800"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","South West (England)","350","330","36570","34800"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","West Midlands (England)","50","40","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","London","50","50","39960","37920"
