"Status","Year","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","120","100","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","1060","990","33090","30950"
"In post","2021","Animal and Plant Health Agency","2680","2530","30660","27960"
"In post","2021","Attorney General's Office","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","9460","9280","46670","38230"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","610","580","34090","29750"
"In post","2021","Charity Commission","440","420","34850","29160"
"In post","2021","Companies House","1100","1010","30780","25460"
"In post","2021","Competition and Markets Authority","840","820","60550","56360"
"In post","2021","Criminal Injuries Compensation Authority","300","280","26120","22640"
"In post","2021","Crown Commercial Service","790","760","37780","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","2020","1880","35720","29040"
"In post","2021","Crown Prosecution Service","6750","6270","41360","38000"
"In post","2021","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","110","110","58680","51550"
"In post","2021","Defence Electronics and Components Agency","440","420","28410","28110"
"In post","2021","Defence Equipment and Support","10700","10340","36390","33740"
"In post","2021","Defence Science and Technology Laboratory","4380","4220","40430","37410"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","5330","5210","48890","49420"
"In post","2021","Department for Digital, Culture, Media and Sport","1780","1750","49140","51730"
"In post","2021","Department for Education (excl. agencies)","5700","5490","44380","40510"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","5410","5210","42470","38080"
"In post","2021","Department for International Trade","2690","2660","45830","39930"
"In post","2021","Department for Transport (excl. agencies)","3510","3420","47760","43360"
"In post","2021","Department for Work and Pensions (excl. agencies)","90950","81420","27650","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","3520","3440","46710","40650"
"In post","2021","Disclosure Scotland","310","290","28110","23170"
"In post","2021","Driver and Vehicle Licensing Agency","6230","5490","26100","21590"
"In post","2021","Driver and Vehicle Standards Agency","4790","4520","29660","26780"
"In post","2021","Education and Skills Funding Agency","1820","1760","41880","37100"
"In post","2021","Education Scotland","320","300","55840","61010"
"In post","2021","ESTYN","110","100","58000","74730"
"In post","2021","FCDO Services","1080","1040","40360","37360"
"In post","2021","Food Standards Agency","1310","1280","37260","32830"
