"Status","Year","Region_ITL2","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Debt","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","40-49","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","50-59","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","30-39","50","50","38060","36020"
"In post","2021","Bedfordshire and Hertfordshire","Legal","40-49","60","50","45030","43290"
"In post","2021","Bedfordshire and Hertfordshire","Legal","50-59","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","20-29","360","350","27080","27850"
"In post","2021","Bedfordshire and Hertfordshire","No function","30-39","370","350","29730","30210"
"In post","2021","Bedfordshire and Hertfordshire","No function","40-49","320","300","31660","30400"
"In post","2021","Bedfordshire and Hertfordshire","No function","50-59","420","400","32260","28200"
"In post","2021","Bedfordshire and Hertfordshire","No function","60-64","120","110","27400","26610"
"In post","2021","Bedfordshire and Hertfordshire","No function","65+","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","30-39","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","40-49","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","50-59","70","70","40950","37640"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","60-64","[c]","[c]","[c]","[c]"
