"Status","Year","Ethnicity","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","AA/AO","730","630","20730","20640"
"In post","2021","Asian","East Midlands (England)","EO","520","480","26700","27570"
"In post","2021","Asian","East Midlands (England)","G6/G7","80","70","55200","52580"
"In post","2021","Asian","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SEO/HEO","310","290","34130","31830"
"In post","2021","Asian","East Midlands (England)","Unknown","70","60","29420","28200"
"In post","2021","Asian","East of England","AA/AO","380","310","22470","21430"
"In post","2021","Asian","East of England","EO","440","400","28050","27570"
"In post","2021","Asian","East of England","G6/G7","50","50","62850","59730"
"In post","2021","Asian","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","SEO/HEO","210","200","37650","37000"
"In post","2021","Asian","East of England","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","London","AA/AO","2430","2160","24750","25110"
"In post","2021","Asian","London","EO","4560","4250","29820","30070"
"In post","2021","Asian","London","G6/G7","2090","2030","59420","57740"
"In post","2021","Asian","London","SCS","220","210","91820","83720"
"In post","2021","Asian","London","SEO/HEO","4140","4030","38150","36800"
"In post","2021","Asian","London","Unknown","130","120","32150","32090"
"In post","2021","Asian","North East (England)","AA/AO","190","160","20800","21010"
"In post","2021","Asian","North East (England)","EO","90","90","26460","25710"
"In post","2021","Asian","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","SEO/HEO","80","80","35130","33730"
"In post","2021","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","AA/AO","1030","900","20740","20920"
"In post","2021","Asian","North West (England)","EO","840","790","26600","27570"
"In post","2021","Asian","North West (England)","G6/G7","140","130","55330","52580"
"In post","2021","Asian","North West (England)","SCS","[c]","[c]","[c]","[c]"
