"Status","Year","Sex","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","80","70","32540","29040"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","50","45750","36740"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Department for Work and Pensions (excl. agencies)","170","140","26450","27570"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Food Standards Scotland","90","90","36140","33620"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Scottish Courts and Tribunals Service","60","50","23940","22820"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Scottish Government (excl. agencies)","200","180","33900","30650"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Scottish Prison Service","130","120","28940","25980"
