"Status","Year","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","200","190","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","70","60","31800","30950"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","60","50","32700","26520"
"In post","2021","Animal and Plant Health Agency","Cumbria","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","90","80","31270","29180"
"In post","2021","Animal and Plant Health Agency","East Wales","110","100","29490","25100"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","40","40","[c]","[c]"
