"Status","Year","Region_ITL1","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Unknown","80","70","29110","30950"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Declared non-disabled","70","70","32780","29180"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Declared disabled","60","50","35350","28430"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Declared non-disabled","280","250","40700","38760"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Unknown","110","100","33780","27470"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Declared non-disabled","170","160","35690","34320"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Declared non-disabled","160","150","42780","38400"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
