"Status","Year","Region_ITL1","Region_ITL3","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","Derbyshire and Nottinghamshire","1010","900","26450","22920"
"In post","2021","East Midlands (England)","East Derbyshire","Derbyshire and Nottinghamshire","400","340","26830","27570"
"In post","2021","East Midlands (England)","Leicester","Leicestershire, Rutland and Northamptonshire","2620","2360","26860","25400"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","2030","1890","29100","26810"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","2830","2660","28120","26750"
"In post","2021","East Midlands (England)","North Northamptonshire","Leicestershire, Rutland and Northamptonshire","510","450","25610","27570"
"In post","2021","East Midlands (England)","North Nottinghamshire","Derbyshire and Nottinghamshire","990","930","28920","27570"
"In post","2021","East Midlands (England)","Nottingham","Derbyshire and Nottinghamshire","7960","7430","31780","27570"
"In post","2021","East Midlands (England)","South and West Derbyshire","Derbyshire and Nottinghamshire","1160","1050","32860","27970"
"In post","2021","East Midlands (England)","South Nottinghamshire","Derbyshire and Nottinghamshire","780","730","30500","27570"
"In post","2021","East Midlands (England)","West Northamptonshire","Leicestershire, Rutland and Northamptonshire","1100","1010","26470","24440"
"In post","2021","East of England","Bedford","Bedfordshire and Hertfordshire","840","780","30220","28190"
"In post","2021","East of England","Breckland and South Norfolk","East Anglia","530","500","28550","26750"
"In post","2021","East of England","Cambridgeshire CC","East Anglia","3380","3200","33980","31220"
"In post","2021","East of England","Central Bedfordshire","Bedfordshire and Hertfordshire","430","420","30230","27570"
"In post","2021","East of England","Essex Haven Gateway","Essex","1130","1070","32320","29290"
"In post","2021","East of England","Essex Thames Gateway","Essex","940","830","27660","28730"
"In post","2021","East of England","Heart of Essex","Essex","1120","1050","31990","29290"
"In post","2021","East of England","Hertfordshire","Bedfordshire and Hertfordshire","2720","2560","34780","31170"
"In post","2021","East of England","Luton","Bedfordshire and Hertfordshire","550","490","26280","26700"
"In post","2021","East of England","North and West Norfolk","East Anglia","930","860","28020","27420"
"In post","2021","East of England","Norwich and East Norfolk","East Anglia","1790","1630","29570","27570"
"In post","2021","East of England","Peterborough","East Anglia","1670","1500","28180","25330"
