"Status","Year","Disability","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","40","40","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO/HEO","60","60","33980","31720"
"In post","2021","Declared disabled","Animal and Plant Health Agency","AA/AO","140","130","21950","21050"
"In post","2021","Declared disabled","Animal and Plant Health Agency","EO","100","100","26500","25330"
"In post","2021","Declared disabled","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","SEO/HEO","90","80","33510","32560"
"In post","2021","Declared disabled","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","80","70","22090","20920"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","EO","120","110","27190","27500"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","240","230","58140","56340"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","SCS","50","40","[c]","[c]"
