"Status","Year","Region_ITL3","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Scotland","130","130","47200","41420"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Scotland","80","70","32730","27680"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","Scotland","370","340","41210","27570"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","Scotland","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Scotland","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Scotland","1120","1060","33530","30650"
"In post","2021","Angus and Dundee City","Department for Transport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","Scotland","960","870","23850","21010"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Scotland","300","270","23610","21400"
"In post","2021","Angus and Dundee City","Ministry of Defence","Scotland","50","50","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","Scotland","580","550","31870","27150"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Northern Ireland","180","180","23500","20310"
"In post","2021","Ards and North Down","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Northern Ireland","180","180","23350","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","London","460","420","30980","31060"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","London","120","100","28080","24660"
"In post","2021","Barnet","Department for Transport","London","30","30","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","London","300","280","30710","31060"
"In post","2021","Barnet","Department of Health and Social Care","London","1100","1040","43010","39110"
"In post","2021","Barnet","Home Office","London","150","150","44640","42170"
"In post","2021","Barnet","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","London","90","80","28070","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","Yorkshire and The Humber","60","50","27490","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","Yorkshire and The Humber","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Treasury","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Yorkshire and The Humber","1510","1400","28750","26810"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","South West (England)","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","South West (England)","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","South West (England)","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","South West (England)","320","290","27410","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","South West (England)","200","180","26800","25260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","South West (England)","11560","11170","38650","36460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","South West (England)","740","680","30540","28220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","South West (England)","410","400","35940","34140"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","East of England","30","30","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","East of England","230","210","32000","27570"
"In post","2021","Bedford","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","East of England","120","110","28790","26160"
"In post","2021","Bedford","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","East of England","400","380","29090","29470"
"In post","2021","Bedford","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Northern Ireland","80","80","38880","37910"
"In post","2021","Belfast","HM Revenue and Customs","Northern Ireland","1990","1850","28520","25560"
"In post","2021","Belfast","Home Office","Northern Ireland","460","410","24980","24880"
"In post","2021","Belfast","Ministry of Defence","Northern Ireland","60","60","22200","20310"
"In post","2021","Belfast","National Crime Agency","Northern Ireland","110","110","39890","39200"
"In post","2021","Belfast","Northern Ireland Office","Northern Ireland","90","80","38110","34990"
"In post","2021","Berkshire","Attorney General's Departments","South East (England)","140","130","43310","40000"
"In post","2021","Berkshire","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","South East (England)","50","40","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","South East (England)","370","350","35700","31540"
"In post","2021","Berkshire","Department for International Trade","South East (England)","120","110","47060","51860"
"In post","2021","Berkshire","Department for Transport","South East (England)","40","40","[c]","[c]"
"In post","2021","Berkshire","Department for Work and Pensions","South East (England)","460","420","29410","29290"
"In post","2021","Berkshire","Department of Health and Social Care","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs","South East (England)","310","290","34710","32520"
"In post","2021","Berkshire","HM Treasury","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Home Office","South East (England)","50","40","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence","South East (England)","1030","1010","34390","33300"
"In post","2021","Berkshire","Ministry of Justice","South East (England)","270","250","27820","24020"
"In post","2021","Berkshire","National Crime Agency","South East (England)","110","110","39480","39570"
"In post","2021","Bexley and Greenwich","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Department for Transport","London","60","60","33680","31830"
"In post","2021","Bexley and Greenwich","Department for Work and Pensions","London","390","360","31090","31060"
"In post","2021","Bexley and Greenwich","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Ministry of Defence","London","120","110","33260","33950"
"In post","2021","Bexley and Greenwich","Ministry of Justice","London","1180","1140","31830","31590"
"In post","2021","Birmingham","Attorney General's Departments","West Midlands (England)","490","460","39820","38000"
"In post","2021","Birmingham","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Department for Business, Energy and Industrial Strategy","West Midlands (England)","670","630","33290","30390"
"In post","2021","Birmingham","Department for International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Department for Transport","West Midlands (England)","160","150","30570","26780"
"In post","2021","Birmingham","Department for Work and Pensions","West Midlands (England)","2240","2000","27320","27570"
"In post","2021","Birmingham","Department of Health and Social Care","West Midlands (England)","450","410","41950","35160"
"In post","2021","Birmingham","Food Standards Agency","West Midlands (England)","70","70","39260","37910"
"In post","2021","Birmingham","HM Revenue and Customs","West Midlands (England)","2990","2790","31300","28130"
"In post","2021","Birmingham","HM Treasury","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Home Office","West Midlands (England)","130","120","29970","25310"
"In post","2021","Birmingham","Ministry of Defence","West Midlands (England)","260","250","34060","33300"
"In post","2021","Birmingham","Ministry of Housing, Communities and Local Government","West Midlands (England)","130","130","38760","36340"
"In post","2021","Birmingham","Ministry of Justice","West Midlands (England)","3140","2930","25990","22570"
"In post","2021","Birmingham","National Crime Agency","West Midlands (England)","410","400","37700","36410"
"In post","2021","Birmingham","Office for Standards in Education","West Midlands (England)","150","150","55180","51360"
"In post","2021","Birmingham","Office of Rail and Road","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","Other Cabinet Office Agencies","West Midlands (England)","70","70","38380","34800"
"In post","2021","Birmingham","Water Services Regulation Authority","West Midlands (England)","180","170","50470","47200"
"In post","2021","Blackburn with Darwen","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Department for Work and Pensions","North West (England)","350","310","26610","27570"
"In post","2021","Blackburn with Darwen","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Ministry of Defence","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","Ministry of Justice","North West (England)","110","100","26860","22920"
"In post","2021","Blackpool","Cabinet Office","North West (England)","40","40","[c]","[c]"
"In post","2021","Blackpool","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Department for Business, Energy and Industrial Strategy","North West (England)","50","50","[c]","[c]"
"In post","2021","Blackpool","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Department for Work and Pensions","North West (England)","4900","4470","28740","27570"
"In post","2021","Blackpool","HM Treasury","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Ministry of Defence","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","Ministry of Justice","North West (England)","120","110","28440","23840"
"In post","2021","Bournemouth and Poole","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","Department for Work and Pensions","South West (England)","280","240","27400","27570"
"In post","2021","Bournemouth and Poole","Home Office","South West (England)","80","70","28110","27260"
"In post","2021","Bournemouth and Poole","Ministry of Defence","South West (England)","100","100","24170","20920"
"In post","2021","Bournemouth and Poole","Ministry of Justice","South West (England)","230","200","26750","22920"
"In post","2021","Bradford","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Department for Work and Pensions","Yorkshire and The Humber","900","790","25300","27570"
"In post","2021","Bradford","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","HM Revenue and Customs","Yorkshire and The Humber","1840","1640","28530","25560"
"In post","2021","Bradford","Ministry of Justice","Yorkshire and The Humber","330","300","24850","22260"
"In post","2021","Breckland and South Norfolk","Department for Work and Pensions","East of England","60","50","27890","27570"
"In post","2021","Breckland and South Norfolk","Department of Health and Social Care","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Home Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","Ministry of Justice","East of England","430","410","28320","25830"
"In post","2021","Brent","Department for Work and Pensions","London","260","240","30440","31060"
"In post","2021","Brent","HM Revenue and Customs","London","140","130","37220","33750"
"In post","2021","Brent","Ministry of Justice","London","210","190","28790","24210"
"In post","2021","Bridgend and Neath Port Talbot","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Department for Work and Pensions","Wales","460","400","25730","27570"
"In post","2021","Bridgend and Neath Port Talbot","Ministry of Defence","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Ministry of Justice","Wales","180","160","27100","22260"
"In post","2021","Bridgend and Neath Port Talbot","National Crime Agency","Wales","60","60","37280","36410"
"In post","2021","Bridgend and Neath Port Talbot","Welsh Government","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Attorney General's Departments","South East (England)","110","100","42660","36240"
"In post","2021","Brighton and Hove","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Department for Work and Pensions","South East (England)","280","250","27580","27570"
"In post","2021","Brighton and Hove","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","Ministry of Justice","South East (England)","250","220","28780","22920"
"In post","2021","Bristol, City of","Attorney General's Departments","South West (England)","150","150","41650","38180"
"In post","2021","Bristol, City of","Cabinet Office","South West (England)","70","60","43300","38420"
"In post","2021","Bristol, City of","Department for Business, Energy and Industrial Strategy","South West (England)","120","110","35460","34390"
"In post","2021","Bristol, City of","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Department for Education","South West (England)","220","210","43730","39780"
"In post","2021","Bristol, City of","Department for Environment, Food and Rural Affairs","South West (England)","860","820","39290","36520"
"In post","2021","Bristol, City of","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Department for Transport","South West (England)","430","410","34950","31790"
"In post","2021","Bristol, City of","Department for Work and Pensions","South West (England)","900","790","27260","27570"
"In post","2021","Bristol, City of","Department of Health and Social Care","South West (England)","360","320","40130","34660"
"In post","2021","Bristol, City of","HM Revenue and Customs","South West (England)","1400","1310","35240","31810"
"In post","2021","Bristol, City of","HM Treasury","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Home Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Ministry of Defence","South West (England)","40","40","[c]","[c]"
"In post","2021","Bristol, City of","Ministry of Housing, Communities and Local Government","South West (England)","880","810","43320","41020"
"In post","2021","Bristol, City of","Ministry of Justice","South West (England)","830","780","26860","23970"
"In post","2021","Bristol, City of","Office for Standards in Education","South West (England)","280","270","43010","35010"
"In post","2021","Bristol, City of","Office of Rail and Road","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","Other Cabinet Office Agencies","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","Department for Work and Pensions","London","280","260","31150","31060"
"In post","2021","Bromley","Ministry of Justice","London","160","140","25870","22450"
"In post","2021","Bromley","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","Department for Work and Pensions","South East (England)","210","190","27760","27570"
"In post","2021","Buckinghamshire CC","Ministry of Defence","South East (England)","720","700","34160","32490"
"In post","2021","Buckinghamshire CC","Ministry of Justice","South East (England)","730","690","30950","30400"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Department for Transport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Department for Work and Pensions","Scotland","50","50","27230","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Ministry of Defence","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scottish Government","Scotland","130","120","28890","28170"
"In post","2021","Calderdale and Kirklees","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Department for Work and Pensions","Yorkshire and The Humber","730","650","27080","27570"
"In post","2021","Calderdale and Kirklees","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","HM Revenue and Customs","Yorkshire and The Humber","120","110","26270","21100"
"In post","2021","Calderdale and Kirklees","Ministry of Defence","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Ministry of Justice","Yorkshire and The Humber","170","140","27190","23840"
"In post","2021","Cambridgeshire CC","Attorney General's Departments","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","Department for Education","East of England","40","40","[c]","[c]"
"In post","2021","Cambridgeshire CC","Department for Environment, Food and Rural Affairs","East of England","100","100","31940","29180"
"In post","2021","Cambridgeshire CC","Department for International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","Department for Transport","East of England","40","40","[c]","[c]"
"In post","2021","Cambridgeshire CC","Department for Work and Pensions","East of England","230","220","28320","27570"
"In post","2021","Cambridgeshire CC","Department of Health and Social Care","East of England","310","280","42540","34620"
"In post","2021","Cambridgeshire CC","HM Revenue and Customs","East of England","50","40","[c]","[c]"
"In post","2021","Cambridgeshire CC","HM Treasury","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","Home Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cambridgeshire CC","Ministry of Defence","East of England","1110","1080","34540","33300"
"In post","2021","Cambridgeshire CC","Ministry of Housing, Communities and Local Government","East of England","30","30","[c]","[c]"
"In post","2021","Cambridgeshire CC","Ministry of Justice","East of England","1310","1220","29650","29810"
"In post","2021","Cambridgeshire CC","Office for Standards in Education","East of England","100","100","62230","64500"
"In post","2021","Camden and City of London","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Camden and City of London","Cabinet Office","London","100","90","54190","54700"
"In post","2021","Camden and City of London","Chancellor's other departments","London","200","190","64910","57250"
"In post","2021","Camden and City of London","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Camden and City of London","Department for Work and Pensions","London","70","70","30980","31060"
"In post","2021","Camden and City of London","HM Revenue and Customs","London","1510","1450","38460","36160"
"In post","2021","Camden and City of London","HM Treasury","London","160","150","57370","51980"
"In post","2021","Camden and City of London","Home Office","London","340","330","34220","30600"
"In post","2021","Camden and City of London","Ministry of Defence","London","120","120","35300","30750"
"In post","2021","Camden and City of London","Ministry of Justice","London","1020","970","27810","23500"
"In post","2021","Camden and City of London","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Camden and City of London","Water Services Regulation Authority","London","70","70","69430","66360"
"In post","2021","Cardiff and Vale of Glamorgan","Attorney General's Departments","Wales","210","200","41090","38760"
"In post","2021","Cardiff and Vale of Glamorgan","Cabinet Office","Wales","30","30","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy","Wales","1280","1180","31170","27460"
"In post","2021","Cardiff and Vale of Glamorgan","Department for Environment, Food and Rural Affairs","Wales","100","90","29980","24920"
"In post","2021","Cardiff and Vale of Glamorgan","Department for International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","Department for Transport","Wales","70","60","31470","26780"
"In post","2021","Cardiff and Vale of Glamorgan","Department for Work and Pensions","Wales","1190","1090","27830","27570"
"In post","2021","Cardiff and Vale of Glamorgan","Department of Health and Social Care","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","ESTYN","Wales","110","100","58000","74730"
"In post","2021","Cardiff and Vale of Glamorgan","Food Standards Agency","Wales","110","110","39860","37910"
"In post","2021","Cardiff and Vale of Glamorgan","HM Revenue and Customs","Wales","4210","3890","27960","25560"
"In post","2021","Cardiff and Vale of Glamorgan","HM Treasury","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","Home Office","Wales","340","320","29050","25360"
"In post","2021","Cardiff and Vale of Glamorgan","Ministry of Defence","Wales","260","250","26710","22570"
"In post","2021","Cardiff and Vale of Glamorgan","Ministry of Housing, Communities and Local Government","Wales","40","40","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","Ministry of Justice","Wales","1170","1090","29200","24870"
"In post","2021","Cardiff and Vale of Glamorgan","Office of Gas and Electricity Markets","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","Wales Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","Water Services Regulation Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cardiff and Vale of Glamorgan","Welsh Government","Wales","2920","2760","43400","37410"
"In post","2021","Causeway Coast and Glens","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Causeway Coast and Glens","Ministry of Defence","Northern Ireland","70","70","20730","20310"
"In post","2021","Central Bedfordshire","Department for Transport","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Department for Work and Pensions","East of England","30","30","[c]","[c]"
"In post","2021","Central Bedfordshire","Food Standards Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Central Bedfordshire","Ministry of Defence","East of England","370","360","30570","27940"
"In post","2021","Central Hampshire","Cabinet Office","South East (England)","40","40","[c]","[c]"
"In post","2021","Central Hampshire","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","Department for Environment, Food and Rural Affairs","South East (England)","40","40","[c]","[c]"
"In post","2021","Central Hampshire","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","Department for Work and Pensions","South East (England)","130","110","27280","27570"
"In post","2021","Central Hampshire","Department of Health and Social Care","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Central Hampshire","Ministry of Defence","South East (England)","3480","3360","37010","34610"
"In post","2021","Central Hampshire","Ministry of Justice","South East (England)","420","400","30420","29440"
"In post","2021","Central Hampshire","National Crime Agency","South East (England)","70","70","36710","36410"
"In post","2021","Central Valleys","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Central Valleys","Department for Transport","Wales","30","30","[c]","[c]"
"In post","2021","Central Valleys","Department for Work and Pensions","Wales","600","530","26430","27570"
"In post","2021","Central Valleys","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Central Valleys","Ministry of Defence","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Central Valleys","Ministry of Justice","Wales","150","140","27450","24550"
"In post","2021","Central Valleys","Welsh Government","Wales","910","870","41390","37410"
"In post","2021","Cheshire East","Department for Environment, Food and Rural Affairs","North West (England)","170","160","31160","26090"
"In post","2021","Cheshire East","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire East","Department for Work and Pensions","North West (England)","190","170","29580","27570"
"In post","2021","Cheshire East","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire East","Ministry of Justice","North West (England)","380","360","29830","27150"
"In post","2021","Cheshire West and Chester","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","Department for Work and Pensions","North West (England)","290","270","25160","27570"
"In post","2021","Cheshire West and Chester","Food Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","Ministry of Defence","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire West and Chester","Ministry of Justice","North West (England)","140","120","27300","23840"
"In post","2021","Chorley and West Lancashire","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Department for Work and Pensions","North West (England)","110","100","27710","27570"
"In post","2021","Chorley and West Lancashire","Ministry of Defence","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chorley and West Lancashire","Ministry of Justice","North West (England)","1140","1050","29450","27380"
"In post","2021","Chorley and West Lancashire","National Crime Agency","North West (England)","80","70","36160","36410"
"In post","2021","City of Edinburgh","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","City of Edinburgh","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","City of Edinburgh","Competition and Markets Authority","Scotland","50","50","56490","55860"
"In post","2021","City of Edinburgh","Department for Business, Energy and Industrial Strategy","Scotland","140","130","27470","23560"
"In post","2021","City of Edinburgh","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","City of Edinburgh","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","City of Edinburgh","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","City of Edinburgh","Department for Transport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","City of Edinburgh","Department for Work and Pensions","Scotland","350","330","29720","27570"
"In post","2021","City of Edinburgh","HM Revenue and Customs","Scotland","2060","1940","28350","25560"
"In post","2021","City of Edinburgh","Home Office","Scotland","170","160","28180","25410"
"In post","2021","City of Edinburgh","Ministry of Defence","Scotland","230","220","27270","21580"
