"Status","Year","Region_ITL1","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Ministry of Justice","60","60","44680","43640"
"In post","2021","East Midlands (England)","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Department for Transport","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Department for Transport","70","70","38930","38650"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","National Crime Agency","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","HM Land Registry","70","60","36150","33840"
"In post","2021","East Midlands (England)","Human Resources","HM Revenue and Customs","180","170","39370","35000"
"In post","2021","East Midlands (England)","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","Office for Standards in Education","70","70","64380","64500"
"In post","2021","East Midlands (England)","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Home Office","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Ministry of Justice","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Department for Transport","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Attorney General's Departments","210","190","51100","51470"
"In post","2021","East Midlands (England)","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","HM Land Registry","40","30","[c]","[c]"
