"Status","Year","Profession_of_post","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Commercial","170","170","39170","36800"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Commercial","70","70","42930","41650"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Commercial","220","210","42790","39790"
"In post","2021","Commercial","Dorset and Somerset","Commercial","40","40","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Project Delivery","30","30","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Commercial","210","200","38330","35730"
"In post","2021","Commercial","East Anglia","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Commercial","150","150","36550","32850"
"In post","2021","Commercial","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Commercial","90","90","33600","28410"
"In post","2021","Commercial","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","640","620","38710","36110"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","710","680","38840","34770"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Property","30","30","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Commercial","170","160","40160","38280"
"In post","2021","Commercial","Greater Manchester","No function","30","30","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Commercial","200","200","35780","34650"
"In post","2021","Commercial","Hampshire and Isle of Wight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Commercial","70","70","45720","42000"
"In post","2021","Commercial","Inner London - East","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Commercial","450","440","50030","43840"
"In post","2021","Commercial","Inner London - West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","No function","100","100","52220","54110"
"In post","2021","Commercial","Inner London - West","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Commercial","40","40","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","Commercial","230","220","36000","34800"
"In post","2021","Commercial","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Commercial","60","50","41100","38180"
"In post","2021","Commercial","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","Commercial","110","100","44730","44250"
"In post","2021","Commercial","Outer London - South","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","Commercial","70","60","36230","29460"
"In post","2021","Commercial","Outer London - West and North West","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Commercial","40","30","[c]","[c]"
"In post","2021","Commercial","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","Commercial","100","100","39530","34800"
