"Status","Year","Sexual_orientation","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Communications","70","70","43070","39750"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Counter Fraud","160","160","45980","40000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Digital, Data & Technology","140","130","40660","38180"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Finance","130","120","36110","31350"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Human Resources","170","170","40260","33930"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Legal","5910","5520","44500","48080"
"In post","2021","Heterosexual / straight","Attorney General's Departments","No function","60","60","42330","40000"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Departments","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","Commercial","300","290","72280","64500"
"In post","2021","Heterosexual / straight","Cabinet Office","Communications","190","180","47440","42210"
"In post","2021","Heterosexual / straight","Cabinet Office","Counter Fraud","70","70","48510","50730"
"In post","2021","Heterosexual / straight","Cabinet Office","Digital, Data & Technology","660","650","51890","54700"
"In post","2021","Heterosexual / straight","Cabinet Office","Finance","60","60","48280","43090"
"In post","2021","Heterosexual / straight","Cabinet Office","Human Resources","870","820","39480","35590"
"In post","2021","Heterosexual / straight","Cabinet Office","Legal","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office","No function","1520","1500","47360","41760"
"In post","2021","Heterosexual / straight","Cabinet Office","Project Delivery","150","150","70290","64500"
"In post","2021","Heterosexual / straight","Cabinet Office","Property","80","80","50370","53000"
"In post","2021","Heterosexual / straight","Cabinet Office","Security","470","450","34980","33300"
"In post","2021","Heterosexual / straight","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Analysis","140","130","70300","65470"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","No function","80","70","53230","45080"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
