"Status","Year","Ethnicity","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA/AO","140","130","23530","22910"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","240","220","28550","28550"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SEO/HEO","110","110","38040","37640"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","200","180","23520","22380"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","230","210","28710","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","30","30","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","110","110","37580","36970"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","AA/AO","180","160","21040","21010"
"In post","2021","Asian","Derbyshire and Nottinghamshire","EO","190","170","26370","26700"
"In post","2021","Asian","Derbyshire and Nottinghamshire","G6/G7","50","50","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","SEO/HEO","200","190","33650","31810"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","AA/AO","190","150","21440","21430"
"In post","2021","Asian","East Anglia","EO","100","100","26560","27130"
"In post","2021","Asian","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","SEO/HEO","50","50","36210","35900"
"In post","2021","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","AA/AO","120","100","20650","20140"
"In post","2021","Asian","East Wales","EO","100","100","26390","25560"
"In post","2021","Asian","East Wales","G6/G7","30","30","[c]","[c]"
"In post","2021","Asian","East Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","SEO/HEO","80","80","35500","34620"
"In post","2021","Asian","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","AA/AO","60","60","21420","21010"
"In post","2021","Asian","Eastern Scotland","EO","50","50","27530","27570"
"In post","2021","Asian","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","SEO/HEO","60","60","39350","38540"
"In post","2021","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","AA/AO","40","40","[c]","[c]"
"In post","2021","Asian","Essex","EO","100","90","28400","29290"
"In post","2021","Asian","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Essex","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Asian","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","100","90","21030","20920"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","EO","150","140","25380","26670"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","80","80","56630","54540"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","310","300","35590","34380"
"In post","2021","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Greater Manchester","AA/AO","400","360","20660","20650"
"In post","2021","Asian","Greater Manchester","EO","490","460","26320","26450"
"In post","2021","Asian","Greater Manchester","G6/G7","90","90","54830","52580"
"In post","2021","Asian","Greater Manchester","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Greater Manchester","SEO/HEO","350","340","33710","31810"
"In post","2021","Asian","Greater Manchester","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","AA/AO","120","90","21780","21010"
"In post","2021","Asian","Hampshire and Isle of Wight","EO","80","80","27200","27530"
"In post","2021","Asian","Hampshire and Isle of Wight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Hampshire and Isle of Wight","SEO/HEO","80","80","36540","36030"
"In post","2021","Asian","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","AA/AO","90","80","21570","21010"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","EO","60","60","26970","27570"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inner London - East","AA/AO","470","410","24610","24590"
"In post","2021","Asian","Inner London - East","EO","890","830","30360","31060"
"In post","2021","Asian","Inner London - East","G6/G7","340","330","60730","59160"
"In post","2021","Asian","Inner London - East","SCS","50","50","99150","97980"
"In post","2021","Asian","Inner London - East","SEO/HEO","720","700","38450","38180"
"In post","2021","Asian","Inner London - East","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Inner London - West","AA/AO","660","610","24930","24120"
"In post","2021","Asian","Inner London - West","EO","1270","1210","29320","29390"
"In post","2021","Asian","Inner London - West","G6/G7","1520","1480","58910","57460"
"In post","2021","Asian","Inner London - West","SCS","160","150","87670","78880"
"In post","2021","Asian","Inner London - West","SEO/HEO","2380","2330","37970","36800"
"In post","2021","Asian","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","AA/AO","60","50","24350","22470"
"In post","2021","Asian","Kent","EO","70","70","29410","29290"
"In post","2021","Asian","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancashire","AA/AO","540","470","20700","20420"
"In post","2021","Asian","Lancashire","EO","290","270","26960","27570"
"In post","2021","Asian","Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancashire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lancashire","SEO/HEO","90","80","34790","33080"
"In post","2021","Asian","Lancashire","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","AA/AO","540","460","20600","20180"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","EO","320","300","26880","27570"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","SEO/HEO","100","90","34880","33840"
"In post","2021","Asian","Leicestershire, Rutland and Northamptonshire","Unknown","40","40","[c]","[c]"
"In post","2021","Asian","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
