"Status","Year","Sex","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","AA/AO","290","260","22740","22160"
"In post","2021","Female","Aberdeen City and Aberdeenshire","EO","320","290","28410","27570"
"In post","2021","Female","Aberdeen City and Aberdeenshire","G6/G7","60","50","62970","61010"
"In post","2021","Female","Aberdeen City and Aberdeenshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","SEO/HEO","260","250","40830","36620"
"In post","2021","Female","Angus and Dundee City","AA/AO","640","560","21160","21010"
"In post","2021","Female","Angus and Dundee City","EO","330","290","27440","27570"
"In post","2021","Female","Angus and Dundee City","G6/G7","40","40","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","SEO/HEO","150","140","37120","35000"
"In post","2021","Female","Antrim and Newtownabbey","AA/AO","40","40","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","AA/AO","30","30","[c]","[c]"
"In post","2021","Female","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","AA/AO","80","70","23040","22910"
"In post","2021","Female","Barking & Dagenham and Havering","EO","230","200","30990","31060"
"In post","2021","Female","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Barnet","AA/AO","200","170","23990","23530"
"In post","2021","Female","Barnet","EO","290","270","30080","31060"
"In post","2021","Female","Barnet","G6/G7","170","160","59670","55150"
"In post","2021","Female","Barnet","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","SEO/HEO","350","330","38090","38930"
"In post","2021","Female","Barnet","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","AA/AO","870","730","21660","21010"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","EO","610","510","27540","27570"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","SEO/HEO","180","170","36460","33650"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Unknown","170","150","29240","28200"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","440","390","22680","21130"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","1290","1170","24680","25500"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","590","570","56360","54560"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","40","40","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","2450","2290","35310","34010"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","550","510","37110","33310"
"In post","2021","Female","Bedford","AA/AO","160","140","24550","22160"
"In post","2021","Female","Bedford","EO","160","150","27420","27570"
"In post","2021","Female","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","SEO/HEO","70","70","37540","35510"
"In post","2021","Female","Bedford","Unknown","60","50","27250","23380"
"In post","2021","Female","Belfast","AA/AO","510","430","20740","20140"
"In post","2021","Female","Belfast","EO","430","380","26340","25560"
"In post","2021","Female","Belfast","G6/G7","100","100","53860","52580"
"In post","2021","Female","Belfast","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","SEO/HEO","390","370","34330","31810"
"In post","2021","Female","Berkshire","AA/AO","350","310","23250","22080"
"In post","2021","Female","Berkshire","EO","460","420","29530","29290"
"In post","2021","Female","Berkshire","G6/G7","130","120","56880","54650"
"In post","2021","Female","Berkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","SEO/HEO","300","280","36870","36520"
"In post","2021","Female","Berkshire","Unknown","120","110","29690","27920"
"In post","2021","Female","Bexley and Greenwich","AA/AO","420","400","26700","24890"
"In post","2021","Female","Bexley and Greenwich","EO","330","310","31310","31060"
"In post","2021","Female","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","SEO/HEO","70","70","40410","38440"
