"Status","Year","Profession_of_post","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","1150","1100","39550","37340"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Ministry of Defence","50","50","36550","36800"
"In post","2021","Commercial","Buckinghamshire CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Ministry of Defence","130","130","33970","34650"
"In post","2021","Commercial","Central Hampshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Valleys","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Scottish Government","50","50","36420","34190"
"In post","2021","Commercial","Clackmannanshire and Fife","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Clackmannanshire and Fife","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Conwy and Denbighshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","Department for Education","60","50","38420","37100"
"In post","2021","Commercial","Coventry","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Croydon","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Croydon","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Croydon","Home Office","40","40","[c]","[c]"
"In post","2021","Commercial","Croydon","Ministry of Justice","100","100","44710","44570"
"In post","2021","Commercial","Darlington","Department for Education","50","50","40700","37100"
"In post","2021","Commercial","Derby","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Department for Business, Energy and Industrial Strategy","180","170","43100","40140"
"In post","2021","Commercial","Devon CC","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset CC","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dudley","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Cumbria","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Cumbria","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Surrey","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Surrey","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Ministry of Defence","80","80","34770","33300"
"In post","2021","Commercial","Glasgow City","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","HM Revenue and Customs","50","50","38760","38630"
"In post","2021","Commercial","Greater Manchester South West","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hackney and Newham","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kensington & Chelsea and Hammersmith & Fulham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancaster and Wyre","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Department of Health and Social Care","90","80","41630","36820"
"In post","2021","Commercial","Leeds","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Ministry of Justice","70","70","38990","36000"
"In post","2021","Commercial","Leicester","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicester","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lisburn and Castlereagh","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","Other Cabinet Office Agencies","190","180","33650","34800"
"In post","2021","Commercial","Luton","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Department for Education","100","90","38760","36780"
"In post","2021","Commercial","Manchester","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Medway","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Kent","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Lancashire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Milton Keynes","Foreign, Commonwealth and Development Office","70","70","43520","40850"
"In post","2021","Commercial","Milton Keynes","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Monmouthshire and Newport","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Monmouthshire and Newport","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Monmouthshire and Newport","Other Cabinet Office Agencies","70","60","31160","28540"
"In post","2021","Commercial","Monmouthshire and Newport","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North and West Norfolk","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North and West Norfolk","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Hampshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Lanarkshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Lanarkshire","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Nottinghamshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire CC","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Norwich and East Norfolk","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Norwich and East Norfolk","Other Cabinet Office Agencies","90","80","34770","34800"
"In post","2021","Commercial","Nottingham","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Nottingham","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Nottingham","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Nottingham","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Nottingham","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Nottingham","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Nottingham","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Ministry of Defence","30","30","[c]","[c]"
"In post","2021","Commercial","Oxfordshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Oxfordshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Oxfordshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Perth and Kinross and Stirling","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Peterborough","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Peterborough","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Peterborough","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Plymouth","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Plymouth","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Plymouth","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Portsmouth","Ministry of Defence","60","50","35880","34500"
"In post","2021","Commercial","Portsmouth","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Powys","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sefton","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sefton","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sefton","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sheffield","Department for Education","90","90","38760","37100"
"In post","2021","Commercial","Sheffield","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sheffield","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire CC","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire CC","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Solihull","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Solihull","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Somerset","Ministry of Defence","50","50","39590","35280"
