"Status","Year","Responsibility_level","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","Declared disabled","170","150","22520","21950"
"In post","2021","AA/AO","Attorney General's Departments","Declared non-disabled","890","800","22780","21950"
"In post","2021","AA/AO","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Attorney General's Departments","Unknown","470","450","21350","21950"
"In post","2021","AA/AO","Cabinet Office","Declared disabled","80","70","22090","20920"
"In post","2021","AA/AO","Cabinet Office","Declared non-disabled","280","260","22070","20920"
"In post","2021","AA/AO","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office","Unknown","170","160","21270","20920"
"In post","2021","AA/AO","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Declared disabled","130","110","21630","20880"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Declared non-disabled","800","730","21820","21140"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","Unknown","530","490","21280","20880"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Declared non-disabled","80","70","21920","21000"
"In post","2021","AA/AO","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Declared disabled","250","230","21700","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Declared non-disabled","1630","1490","21440","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Undeclared","50","50","21420","21050"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","Unknown","100","90","22220","21050"
"In post","2021","AA/AO","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","Declared disabled","600","490","20910","21590"
"In post","2021","AA/AO","Department for Transport","Declared non-disabled","3770","3260","21700","21590"
"In post","2021","AA/AO","Department for Transport","Undeclared","440","380","23260","21590"
"In post","2021","AA/AO","Department for Transport","Unknown","900","820","22080","21590"
"In post","2021","AA/AO","Department for Work and Pensions","Declared disabled","5120","4320","21160","21010"
"In post","2021","AA/AO","Department for Work and Pensions","Declared non-disabled","22240","18990","21180","21010"
"In post","2021","AA/AO","Department for Work and Pensions","Undeclared","1350","1200","21210","21010"
"In post","2021","AA/AO","Department for Work and Pensions","Unknown","900","840","21260","21010"
"In post","2021","AA/AO","Department of Health and Social Care","Declared disabled","80","70","21180","20150"
"In post","2021","AA/AO","Department of Health and Social Care","Declared non-disabled","660","580","21100","20150"
"In post","2021","AA/AO","Department of Health and Social Care","Undeclared","50","40","20860","19630"
"In post","2021","AA/AO","Department of Health and Social Care","Unknown","190","170","22240","22140"
"In post","2021","AA/AO","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Declared disabled","80","80","25700","25430"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Declared non-disabled","410","400","25690","24750"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","Unknown","80","80","24550","23000"
"In post","2021","AA/AO","HM Land Registry","Declared disabled","120","100","22380","22350"
