"Status","Year","Region_ITL2","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Female","Asian","340","300","30220","27570"
"In post","2021","Bedfordshire and Hertfordshire","Female","Black","150","140","30430","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Mixed","90","80","31240","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Female","Undeclared","90","80","30070","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Unknown","220","200","29050","27850"
"In post","2021","Bedfordshire and Hertfordshire","Female","White","1660","1510","32030","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Asian","200","200","31730","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Black","80","80","32090","30270"
"In post","2021","Bedfordshire and Hertfordshire","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Mixed","50","50","32770","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Male","Undeclared","120","110","34730","31760"
"In post","2021","Bedfordshire and Hertfordshire","Male","Unknown","190","190","30850","28800"
"In post","2021","Bedfordshire and Hertfordshire","Male","White","1290","1250","34610","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Asian","350","310","30140","27990"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Black","170","160","29620","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Mixed","90","80","30200","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","190","170","32560","29530"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","480","450","30830","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","White","3460","3200","31850","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Asian","250","240","31390","28700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Black","110","110","31590","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Mixed","90","90","34330","30430"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","280","270","35660","33520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","630","610","31750","29190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","White","3410","3340","34930","32870"
"In post","2021","Cheshire","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Undeclared","60","50","28130","27570"
"In post","2021","Cheshire","Female","Unknown","220","200","28500","27570"
"In post","2021","Cheshire","Female","White","1830","1680","30190","27570"
"In post","2021","Cheshire","Male","Asian","30","30","[c]","[c]"
"In post","2021","Cheshire","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Male","Undeclared","70","70","34530","32770"
"In post","2021","Cheshire","Male","Unknown","200","200","30900","27570"
"In post","2021","Cheshire","Male","White","1370","1330","33230","31650"
"In post","2021","Cornwall and Isles of Scilly","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Chinese","[c]","[c]","[c]","[c]"
