"Status","Year","Region_ITL2","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Heterosexual / straight","500","490","28650","29060"
"In post","2021","Bedfordshire and Hertfordshire","20-29","LGBO","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Undeclared","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Unknown","110","110","26870","27540"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Heterosexual / straight","660","630","32420","29620"
"In post","2021","Bedfordshire and Hertfordshire","30-39","LGBO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Undeclared","60","60","34110","31810"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Unknown","140","140","32370","29820"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Heterosexual / straight","730","690","34340","30000"
"In post","2021","Bedfordshire and Hertfordshire","40-49","LGBO","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Undeclared","110","100","35090","31830"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Unknown","140","130","35350","31060"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Heterosexual / straight","960","910","34070","30110"
"In post","2021","Bedfordshire and Hertfordshire","50-59","LGBO","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Undeclared","130","130","32780","30420"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Unknown","240","220","32850","29290"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Heterosexual / straight","270","230","30450","28200"
"In post","2021","Bedfordshire and Hertfordshire","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Undeclared","50","50","31880","29290"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Unknown","90","70","32910","29530"
"In post","2021","Bedfordshire and Hertfordshire","65+","Heterosexual / straight","80","60","29280","27710"
"In post","2021","Bedfordshire and Hertfordshire","65+","LGBO","[c]","[c]","[c]","[c]"
