"Status","Year","Age","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Project Delivery","90","90","17910","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","200","200","22680","21010"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","No function","30","30","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","No function","40","40","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","No function","100","90","22620","22850"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Debt","50","50","20240","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","No function","150","140","20220","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Unknown","80","70","22340","21430"
"In post","2021","16-19","Insolvency Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
