"Status","Year","Age","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","No function","90","90","25550","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","No function","450","440","25420","24920"
"In post","2021","20-29","Animal and Plant Health Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Commercial","120","120","47920","54700"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Communications","120","120","36120","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Digital, Data & Technology","210","210","41350","38500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Finance","30","30","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Human Resources","230","230","30260","28000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","No function","2410","2410","33150","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Project Delivery","30","30","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Security","180","180","28170","26670"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Analysis","60","60","25270","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Unknown","40","30","[c]","[c]"
"In post","2021","20-29","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","20-29","Companies House","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","No function","60","60","22030","19850"
"In post","2021","20-29","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Analysis","30","30","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Project Delivery","60","60","36130","33610"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","No function","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Commercial","70","70","28230","27770"
"In post","2021","20-29","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","No function","30","30","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Legal","80","80","36990","37940"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","No function","300","290","23280","22220"
"In post","2021","20-29","Crown Prosecution Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Legal","820","810","27200","24590"
"In post","2021","20-29","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","Debt","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt Management Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Commercial","50","50","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Finance","120","120","24660","25000"
"In post","2021","20-29","Defence Equipment and Support","Human Resources","40","40","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Project Delivery","1770","1750","26760","26990"
"In post","2021","20-29","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Unknown","30","30","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","Analysis","110","110","30950","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","No function","630","630","28790","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","Project Delivery","120","120","29390","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","180","180","37580","34090"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","30","30","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","1490","1480","41010","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","40","40","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Analysis","80","80","46680","42020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","No function","470","470","40450","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Project Delivery","70","70","36200","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","Analysis","140","140","40080","38100"
"In post","2021","20-29","Department for Education (excl. agencies)","Commercial","40","40","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","Communications","80","80","33130","29360"
"In post","2021","20-29","Department for Education (excl. agencies)","Digital, Data & Technology","70","60","33870","31350"
"In post","2021","20-29","Department for Education (excl. agencies)","Finance","70","70","33670","30100"
"In post","2021","20-29","Department for Education (excl. agencies)","Human Resources","40","40","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","No function","590","590","36880","33300"
"In post","2021","20-29","Department for Education (excl. agencies)","Project Delivery","80","70","36180","33250"
"In post","2021","20-29","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","Unknown","110","110","37180","35050"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","50","50","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","30","30","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","870","870","35440","32680"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","40","40","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","40","40","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Analysis","140","140","36180","31800"
"In post","2021","20-29","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Communications","40","40","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Human Resources","50","50","38830","32120"
