"Status","Year","Parent_department","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office","Digital, Data & Technology","Declared disabled","90","90","48410","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Declared non-disabled","730","720","52050","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Undeclared","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Unknown","120","110","48980","49700"
"In post","2021","Cabinet Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Declared non-disabled","60","60","45990","41820"
"In post","2021","Cabinet Office","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Declared disabled","190","180","40360","35790"
"In post","2021","Cabinet Office","Human Resources","Declared non-disabled","760","730","39580","35590"
"In post","2021","Cabinet Office","Human Resources","Undeclared","60","60","36100","32000"
"In post","2021","Cabinet Office","Human Resources","Unknown","110","110","36170","32000"
"In post","2021","Cabinet Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Declared disabled","230","220","44140","37030"
"In post","2021","Cabinet Office","No function","Declared non-disabled","1610","1580","47350","41250"
"In post","2021","Cabinet Office","No function","Undeclared","90","90","45920","38580"
"In post","2021","Cabinet Office","No function","Unknown","2250","2240","35420","29250"
"In post","2021","Cabinet Office","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Declared non-disabled","160","150","72390","64500"
"In post","2021","Cabinet Office","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Declared non-disabled","80","70","49570","52720"
"In post","2021","Cabinet Office","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Security","Declared disabled","90","80","33190","33300"
"In post","2021","Cabinet Office","Security","Declared non-disabled","430","410","35560","33300"
"In post","2021","Cabinet Office","Security","Undeclared","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Security","Unknown","310","290","29300","26670"
"In post","2021","Cabinet Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Analysis","Declared non-disabled","130","130","71700","65470"
"In post","2021","Chancellor's other departments","Analysis","Unknown","40","30","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Declared non-disabled","100","100","54120","45080"
"In post","2021","Chancellor's other departments","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
