"Status","Year","Organisation","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","EO","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","AA/AO","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","EO","210","200","25100","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","G6/G7","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","SEO/HEO","340","310","35260","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","EO","140","140","25000","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","SEO/HEO","250","240","36760","34500"
"In post","2021","Animal and Plant Health Agency","Female","AA/AO","560","500","21820","21050"
"In post","2021","Animal and Plant Health Agency","Female","EO","460","430","26380","25380"
"In post","2021","Animal and Plant Health Agency","Female","G6/G7","100","100","54150","54220"
"In post","2021","Animal and Plant Health Agency","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","SEO/HEO","490","460","35880","35900"
"In post","2021","Animal and Plant Health Agency","Male","AA/AO","260","250","22000","21050"
"In post","2021","Animal and Plant Health Agency","Male","EO","320","300","26820","26440"
"In post","2021","Animal and Plant Health Agency","Male","G6/G7","110","100","56240","54580"
"In post","2021","Animal and Plant Health Agency","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","SEO/HEO","390","380","36420","36500"
"In post","2021","Attorney General's Office","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","AA/AO","320","280","21750","20920"
"In post","2021","Cabinet Office (excl. agencies)","Female","EO","530","510","27150","27500"
"In post","2021","Cabinet Office (excl. agencies)","Female","G6/G7","1500","1460","59400","55950"
"In post","2021","Cabinet Office (excl. agencies)","Female","SCS","420","410","87650","75930"
"In post","2021","Cabinet Office (excl. agencies)","Female","SEO/HEO","2270","2240","33600","33300"
"In post","2021","Cabinet Office (excl. agencies)","Male","AA/AO","240","230","21890","20920"
"In post","2021","Cabinet Office (excl. agencies)","Male","EO","350","350","27300","27500"
"In post","2021","Cabinet Office (excl. agencies)","Male","G6/G7","1520","1510","59800","56440"
"In post","2021","Cabinet Office (excl. agencies)","Male","SCS","550","550","95640","81170"
"In post","2021","Cabinet Office (excl. agencies)","Male","SEO/HEO","1750","1740","33720","33300"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","AA/AO","40","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","EO","70","60","25050","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","G6/G7","30","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Female","SEO/HEO","150","140","32920","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","EO","50","50","25120","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","G6/G7","80","80","52510","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Male","SEO/HEO","170","160","32770","30220"
"In post","2021","Charity Commission","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","EO","70","60","24740","24440"
"In post","2021","Charity Commission","Female","G6/G7","40","40","[c]","[c]"
"In post","2021","Charity Commission","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","SEO/HEO","130","120","32740","29550"
"In post","2021","Charity Commission","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","EO","40","40","[c]","[c]"
"In post","2021","Charity Commission","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","SEO/HEO","110","100","33390","31350"
"In post","2021","Companies House","Female","AA/AO","290","240","21870","22490"
"In post","2021","Companies House","Female","EO","140","120","26910","27460"
"In post","2021","Companies House","Female","G6/G7","30","30","[c]","[c]"
"In post","2021","Companies House","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","SEO/HEO","140","130","37720","38000"
"In post","2021","Companies House","Male","AA/AO","140","140","21420","22490"
"In post","2021","Companies House","Male","EO","150","140","28760","27460"
"In post","2021","Companies House","Male","G6/G7","40","40","[c]","[c]"
"In post","2021","Companies House","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","SEO/HEO","170","160","39660","39820"
"In post","2021","Competition and Markets Authority","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","EO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","G6/G7","220","210","65750","62890"
"In post","2021","Competition and Markets Authority","Female","SCS","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","SEO/HEO","110","110","37760","35680"
