"Status","Year","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Attorney General's Departments","1540","1410","22310","21950"
"In post","2021","AA/AO","Cabinet Office","560","520","21810","20920"
"In post","2021","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Business, Energy and Industrial Strategy","1500","1380","21630","20880"
"In post","2021","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Department for Education","110","100","21880","21000"
"In post","2021","AA/AO","Department for Environment, Food and Rural Affairs","2040","1860","21520","21050"
"In post","2021","AA/AO","Department for International Trade","40","30","[c]","[c]"
"In post","2021","AA/AO","Department for Transport","5700","4960","21800","21590"
"In post","2021","AA/AO","Department for Work and Pensions","29600","25350","21180","21010"
"In post","2021","AA/AO","Department of Health and Social Care","980","870","21320","21570"
"In post","2021","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office","600","580","25550","24750"
"In post","2021","AA/AO","HM Land Registry","1850","1750","22470","22350"
"In post","2021","AA/AO","HM Revenue and Customs","21600","18730","20760","20140"
"In post","2021","AA/AO","HM Treasury","70","70","22490","22500"
"In post","2021","AA/AO","Home Office","8330","7380","21990","21430"
"In post","2021","AA/AO","Ministry of Defence","15920","15300","22810","20920"
"In post","2021","AA/AO","Ministry of Housing, Communities and Local Government","240","220","22630","22560"
"In post","2021","AA/AO","Ministry of Justice","40580","37640","24440","23240"
"In post","2021","AA/AO","National Crime Agency","330","310","23750","24220"
"In post","2021","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office for Standards in Education","230","210","21250","21160"
"In post","2021","AA/AO","Office of Gas and Electricity Markets","50","50","19670","19380"
"In post","2021","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scottish Government","6120","5690","23010","22430"
"In post","2021","AA/AO","The National Archives","90","80","21250","20650"
"In post","2021","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","United Kingdom Statistics Authority","1460","1040","19630","19520"
"In post","2021","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Welsh Government","970","890","23340","23830"
"In post","2021","EO","Attorney General's Departments","1760","1640","28060","28430"
"In post","2021","EO","Cabinet Office","890","860","27210","27500"
"In post","2021","EO","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","EO","Charity Commission","110","100","24760","24440"
"In post","2021","EO","Competition and Markets Authority","80","70","28540","28070"
"In post","2021","EO","Department for Business, Energy and Industrial Strategy","1940","1860","26470","26290"
"In post","2021","EO","Department for Digital, Culture, Media and Sport","180","180","27400","26180"
"In post","2021","EO","Department for Education","960","930","26680","26000"
"In post","2021","EO","Department for Environment, Food and Rural Affairs","2060","1930","26230","25330"
"In post","2021","EO","Department for International Trade","250","250","27360","26510"
"In post","2021","EO","Department for Transport","4180","3920","28020","26780"
"In post","2021","EO","Department for Work and Pensions","49020","44370","28120","27570"
"In post","2021","EO","Department of Health and Social Care","1580","1480","26470","27140"
"In post","2021","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Food Standards Agency","440","420","27280","26750"
"In post","2021","EO","Foreign, Commonwealth and Development Office","970","940","29500","29300"
"In post","2021","EO","HM Land Registry","2150","1880","27500","27130"
"In post","2021","EO","HM Revenue and Customs","15640","14430","26440","25560"
"In post","2021","EO","HM Treasury","240","230","27030","26750"
"In post","2021","EO","Home Office","14370","13180","26950","26070"
"In post","2021","EO","Ministry of Defence","10600","10230","26870","26670"
"In post","2021","EO","Ministry of Housing, Communities and Local Government","380","360","28040","27850"
"In post","2021","EO","Ministry of Justice","10420","9940","28300","27380"
"In post","2021","EO","National Crime Agency","2470","2410","33470","33120"
"In post","2021","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office for Standards in Education","200","190","26300","25880"
"In post","2021","EO","Office of Gas and Electricity Markets","270","260","25830","25600"
"In post","2021","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other Cabinet Office Agencies","130","130","23930","22640"
"In post","2021","EO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Scottish Government","5500","5220","30230","29350"
"In post","2021","EO","The National Archives","80","70","25550","24630"
"In post","2021","EO","UK Export Finance","50","40","[c]","[c]"
"In post","2021","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","United Kingdom Statistics Authority","780","730","23970","23050"
"In post","2021","EO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","EO","Welsh Government","1020","960","28690","28850"
"In post","2021","G6/G7","Attorney General's Departments","4770","4410","58520","55610"
