"Status","Year","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","370","360","34050","34800"
"In post","2021","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","920","880","39490","35570"
"In post","2021","Commercial","Defence Science and Technology Laboratory","70","70","33740","35520"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","190","180","39800","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","39210","36970"
"In post","2021","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","90","90","50180","46920"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","200","200","48750","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","160","140","32760","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","190","180","41270","36960"
"In post","2021","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","80","80","47060","41610"
"In post","2021","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","80","70","41640","39860"
"In post","2021","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","680","660","49260","48020"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","70","70","39630","38630"
"In post","2021","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","90","90","41360","42100"
"In post","2021","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","100","90","40800","40080"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","190","180","42990","40140"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","860","820","36300","34800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","110","110","35560","34090"
"In post","2021","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","40","40","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","80","80","30640","25870"
"In post","2021","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","150","140","40040","38240"
"In post","2021","Commercial","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","50","50","41310","39750"
"In post","2021","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","130","48060","45270"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","240","230","37810","33510"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","260","250","41570","37790"
"In post","2021","Communications","Department for International Trade","140","140","43060","38540"
"In post","2021","Communications","Department for Transport (excl. agencies)","110","110","47530","43360"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","190","180","43490","38360"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","70","60","29810","26740"
"In post","2021","Communications","Driver and Vehicle Standards Agency","90","80","31290","30730"
"In post","2021","Communications","Education and Skills Funding Agency","90","90","43280","40300"
"In post","2021","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","140","130","48880","45840"
"In post","2021","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Communications","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","230","220","44420","39200"
"In post","2021","Communications","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Communications","Home Office (incl. agencies)","180","170","48630","43880"
"In post","2021","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","60","60","41910","36690"
"In post","2021","Communications","Met Office","30","30","[c]","[c]"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","540","520","34600","33300"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","100","100","41310","36340"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","110","100","45040","43410"
"In post","2021","Communications","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","40","30","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","40","30","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Public Health England","80","70","47540","42630"
"In post","2021","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","90","80","37320","36030"
"In post","2021","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government (excl. agencies)","160","150","39140","37410"
