"Status","Year","Ethnicity","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Counter Fraud","70","60","22420","21440"
"In post","2021","Asian","AA/AO","Debt","280","240","22270","20430"
"In post","2021","Asian","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Finance","100","90","21490","20140"
"In post","2021","Asian","AA/AO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Human Resources","60","50","21730","20920"
"In post","2021","Asian","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Legal","180","170","22760","23520"
"In post","2021","Asian","AA/AO","No function","3330","2990","22010","20520"
"In post","2021","Asian","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","Property","60","50","22770","21250"
"In post","2021","Asian","AA/AO","Security","110","110","24610","21150"
"In post","2021","Asian","AA/AO","Unknown","3700","3180","22330","21430"
"In post","2021","Asian","EO","Analysis","50","50","27690","27680"
"In post","2021","Asian","EO","Commercial","50","50","28100","28080"
"In post","2021","Asian","EO","Communications","250","240","25250","25560"
"In post","2021","Asian","EO","Counter Fraud","250","240","27770","27700"
"In post","2021","Asian","EO","Debt","60","60","28050","26470"
"In post","2021","Asian","EO","Digital, Data & Technology","160","160","27780","27130"
"In post","2021","Asian","EO","Finance","150","140","27150","26490"
"In post","2021","Asian","EO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Human Resources","110","110","27280","27380"
"In post","2021","Asian","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","Legal","200","190","27670","27580"
"In post","2021","Asian","EO","No function","1660","1570","27400","26880"
"In post","2021","Asian","EO","Project Delivery","180","180","26300","26550"
"In post","2021","Asian","EO","Property","100","100","27980","27500"
"In post","2021","Asian","EO","Security","30","30","[c]","[c]"
"In post","2021","Asian","EO","Unknown","6550","6050","28730","28650"
"In post","2021","Asian","G6/G7","Analysis","130","130","59230","58820"
"In post","2021","Asian","G6/G7","Commercial","40","40","[c]","[c]"
"In post","2021","Asian","G6/G7","Communications","40","30","[c]","[c]"
"In post","2021","Asian","G6/G7","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Asian","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Digital, Data & Technology","210","210","58370","55480"
"In post","2021","Asian","G6/G7","Finance","140","130","59200","59120"
"In post","2021","Asian","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","Human Resources","80","80","58370","56730"
